"","word","freq","first_Nmin1","last","first","first2","first3","second","third","fourth"
"46","am not the only one",6,"am not the only","one","am","am not","am not the","not","the","only"
"47","at the same time i",6,"at the same time","i","at","at the","at the same","the","same","time"
"48","but at the same time",6,"but at the same","time","but","but at","but at the","at","the","same"
"49","but i am going to",6,"but i am going","to","but","but i","but i am","i","am","going"
"50","but i do not know",6,"but i do not","know","but","but i","but i do","i","do","not"
"51","do not have to be",6,"do not have to","be","do","do not","do not have","not","have","to"
"52","do not know how to",6,"do not know how","to","do","do not","do not know","not","know","how"
"53","for those of you who",6,"for those of you","who","for","for those","for those of","those","of","you"
"54","i am a big fan",6,"i am a big","fan","i","i am","i am a","am","a","big"
"55","i am going to be",6,"i am going to","be","i","i am","i am going","am","going","to"
"56","i am not the only",6,"i am not the","only","i","i am","i am not","am","not","the"
"57","i did not have to",6,"i did not have","to","i","i did","i did not","did","not","have"
"58","i did not want to",6,"i did not want","to","i","i did","i did not","did","not","want"
"59","i do not feel like",6,"i do not feel","like","i","i do","i do not","do","not","feel"
"60","i do not have any",6,"i do not have","any","i","i do","i do not","do","not","have"
"61","i have to say that",6,"i have to say","that","i","i have","i have to","have","to","say"
"62","i think i have a",6,"i think i have","a","i","i think","i think i","think","i","have"
"63","i would love to hear",6,"i would love to","hear","i","i would","i would love","would","love","to"
"64","if you do not like",6,"if you do not","like","if","if you","if you do","you","do","not"
"65","is the best way to",6,"is the best way","to","is","is the","is the best","the","best","way"
"66","may or may not have",6,"may or may not","have","may","may or","may or may","or","may","not"
"67","so i am going to",6,"so i am going","to","so","so i","so i am","i","am","going"
"68","thank you so much for",6,"thank you so much","for","thank","thank you","thank you so","you","so","much"
"69","thanks for the follow and",6,"thanks for the follow","and","thanks","thanks for","thanks for the","for","the","follow"
"70","the end of the year",6,"the end of the","year","the","the end","the end of","end","of","the"
"71","the rest of your life",6,"the rest of your","life","the","the rest","the rest of","rest","of","your"
"72","there is a lot of",6,"there is a lot","of","there","there is","there is a","is","a","lot"
"73","this is going to be",6,"this is going to","be","this","this is","this is going","is","going","to"
"74","up in the middle of",6,"up in the middle","of","up","up in","up in the","in","the","middle"
"75","and the rest of the",5,"and the rest of","the","and","and the","and the rest","the","rest","of"
"76","do not know what i",5,"do not know what","i","do","do not","do not know","not","know","what"
"77","finished a mi run with",5,"finished a mi run","with","finished","finished a","finished a mi","a","mi","run"
"78","has nothing to do with",5,"has nothing to do","with","has","has nothing","has nothing to","nothing","to","do"
"79","hope everyone had a great",5,"hope everyone had a","great","hope","hope everyone","hope everyone had","everyone","had","a"
"80","hope everyone is having a",5,"hope everyone is having","a","hope","hope everyone","hope everyone is","everyone","is","having"
"81","hope to see you there",5,"hope to see you","there","hope","hope to","hope to see","to","see","you"
"82","hope you had a great",5,"hope you had a","great","hope","hope you","hope you had","you","had","a"
"83","i am going to sleep",5,"i am going to","sleep","i","i am","i am going","am","going","to"
"84","i am trying to get",5,"i am trying to","get","i","i am","i am trying","am","trying","to"
"85","i can not believe i",5,"i can not believe","i","i","i can","i can not","can","not","believe"
"86","i can not help but",5,"i can not help","but","i","i can","i can not","can","not","help"
"87","i do not care what",5,"i do not care","what","i","i do","i do not","do","not","care"
"88","i do not have to",5,"i do not have","to","i","i do","i do not","do","not","have"
"89","i do not know why",5,"i do not know","why","i","i do","i do not","do","not","know"
"90","i have been meaning to",5,"i have been meaning","to","i","i have","i have been","have","been","meaning"
"91","i hope you have a",5,"i hope you have","a","i","i hope","i hope you","hope","you","have"
"92","i just do not know",5,"i just do not","know","i","i just","i just do","just","do","not"
"93","i just finished a mi",5,"i just finished a","mi","i","i just","i just finished","just","finished","a"
"94","i love you so much",5,"i love you so","much","i","i love","i love you","love","you","so"
"95","i need to figure out",5,"i need to figure","out","i","i need","i need to","need","to","figure"
"96","i will let you know",5,"i will let you","know","i","i will","i will let","will","let","you"
"97","i would love to have",5,"i would love to","have","i","i would","i would love","would","love","to"
"98","is a good place to",5,"is a good place","to","is","is a","is a good","a","good","place"
"99","is one of my favorite",5,"is one of my","favorite","is","is one","is one of","one","of","my"
"100","it was going to be",5,"it was going to","be","it","it was","it was going","was","going","to"
"101","just finished a mi run",5,"just finished a mi","run","just","just finished","just finished a","finished","a","mi"
"102","let us know if you",5,"let us know if","you","let","let us","let us know","us","know","if"
"103","let us know what you",5,"let us know what","you","let","let us","let us know","us","know","what"
"104","look forward to seeing you",5,"look forward to seeing","you","look","look forward","look forward to","forward","to","seeing"
"105","mothers day to all the",5,"mothers day to all","the","mothers","mothers day","mothers day to","day","to","all"
"106","not wait to see what",5,"not wait to see","what","not","not wait","not wait to","wait","to","see"
"107","now i am going to",5,"now i am going","to","now","now i","now i am","i","am","going"
"108","over the course of the",5,"over the course of","the","over","over the","over the course","the","course","of"
"109","so i do not have",5,"so i do not","have","so","so i","so i do","i","do","not"
"110","thanks so much for the",5,"thanks so much for","the","thanks","thanks so","thanks so much","so","much","for"
"111","thanks to everyone who came",5,"thanks to everyone who","came","thanks","thanks to","thanks to everyone","to","everyone","who"
"112","that is what i am",5,"that is what i","am","that","that is","that is what","is","what","i"
"113","the only thing i can",5,"the only thing i","can","the","the only","the only thing","only","thing","i"
"114","the rest of the week",5,"the rest of the","week","the","the rest","the rest of","rest","of","the"
"115","there are a lot of",5,"there are a lot","of","there","there are","there are a","are","a","lot"
"116","to get out of the",5,"to get out of","the","to","to get","to get out","get","out","of"
"117","what i need to do",5,"what i need to","do","what","what i","what i need","i","need","to"
"118","what it is like to",5,"what it is like","to","what","what it","what it is","it","is","like"
"119","wish i could be there",5,"wish i could be","there","wish","wish i","wish i could","i","could","be"
"120","you do not have a",5,"you do not have","a","you","you do","you do not","do","not","have"
"121","a couple of weeks ago",4,"a couple of weeks","ago","a","a couple","a couple of","couple","of","weeks"
"122","a couple of years ago",4,"a couple of years","ago","a","a couple","a couple of","couple","of","years"
"123","am a big fan of",4,"am a big fan","of","am","am a","am a big","a","big","fan"
"124","an hour and a half",4,"an hour and a","half","an","an hour","an hour and","hour","and","a"
"125","and i am going to",4,"and i am going","to","and","and i","and i am","i","am","going"
"126","and i can not wait",4,"and i can not","wait","and","and i","and i can","i","can","not"
"127","and i did not want",4,"and i did not","want","and","and i","and i did","i","did","not"
"128","and i have to say",4,"and i have to","say","and","and i","and i have","i","have","to"
"129","at the bottom of the",4,"at the bottom of","the","at","at the","at the bottom","the","bottom","of"
"130","at the end of my",4,"at the end of","my","at","at the","at the end","the","end","of"
"131","at the top of the",4,"at the top of","the","at","at the","at the top","the","top","of"
"132","be able to make it",4,"be able to make","it","be","be able","be able to","able","to","make"
"133","but at the end of",4,"but at the end","of","but","but at","but at the","at","the","end"
"134","can not help but feel",4,"can not help but","feel","can","can not","can not help","not","help","but"
"135","can not wait to hear",4,"can not wait to","hear","can","can not","can not wait","not","wait","to"
"136","do not know how i",4,"do not know how","i","do","do not","do not know","not","know","how"
"137","each and every one of",4,"each and every one","of","each","each and","each and every","and","every","one"
"138","everyone is having a great",4,"everyone is having a","great","everyone","everyone is","everyone is having","is","having","a"
"139","for a chance to win",4,"for a chance to","win","for","for a","for a chance","a","chance","to"
"140","for the rest of your",4,"for the rest of","your","for","for the","for the rest","the","rest","of"
"141","has something to do with",4,"has something to do","with","has","has something","has something to","something","to","do"
"142","hope to see you soon",4,"hope to see you","soon","hope","hope to","hope to see","to","see","you"
"143","hope you are doing well",4,"hope you are doing","well","hope","hope you","hope you are","you","are","doing"
"144","i am going to bed",4,"i am going to","bed","i","i am","i am going","am","going","to"
"145","i am going to the",4,"i am going to","the","i","i am","i am going","am","going","to"
"146","i am in love with",4,"i am in love","with","i","i am","i am in","am","in","love"
"147","i am not sure how",4,"i am not sure","how","i","i am","i am not","am","not","sure"
"148","i am not sure what",4,"i am not sure","what","i","i am","i am not","am","not","sure"
"149","i am proud of you",4,"i am proud of","you","i","i am","i am proud","am","proud","of"
"150","i am so proud of",4,"i am so proud","of","i","i am","i am so","am","so","proud"
"151","i can not decide if",4,"i can not decide","if","i","i can","i can not","can","not","decide"
"152","i can not help it",4,"i can not help","it","i","i can","i can not","can","not","help"
"153","i did not even know",4,"i did not even","know","i","i did","i did not","did","not","even"
"154","i do not believe in",4,"i do not believe","in","i","i do","i do not","do","not","believe"
"155","i do not even know",4,"i do not even","know","i","i do","i do not","do","not","even"
"156","i do not give a",4,"i do not give","a","i","i do","i do not","do","not","give"
"157","i do not have time",4,"i do not have","time","i","i do","i do not","do","not","have"
"158","i do not like the",4,"i do not like","the","i","i do","i do not","do","not","like"
"159","i do not need to",4,"i do not need","to","i","i do","i do not","do","not","need"
"160","i do not think so",4,"i do not think","so","i","i do","i do not","do","not","think"
"161","i feel the same way",4,"i feel the same","way","i","i feel","i feel the","feel","the","same"
"162","i had no idea that",4,"i had no idea","that","i","i had","i had no","had","no","idea"
"163","i had no idea what",4,"i had no idea","what","i","i had","i had no","had","no","idea"
"164","i have been a fan",4,"i have been a","fan","i","i have","i have been","have","been","a"
"165","i have been working on",4,"i have been working","on","i","i have","i have been","have","been","working"
"166","i think i am going",4,"i think i am","going","i","i think","i think i","think","i","am"
"167","i think there is a",4,"i think there is","a","i","i think","i think there","think","there","is"
"168","i thought it would be",4,"i thought it would","be","i","i thought","i thought it","thought","it","would"
"169","i was able to get",4,"i was able to","get","i","i was","i was able","was","able","to"
"170","i will be able to",4,"i will be able","to","i","i will","i will be","will","be","able"
"171","i will be in the",4,"i will be in","the","i","i will","i will be","will","be","in"
"172","i will not go into",4,"i will not go","into","i","i will","i will not","will","not","go"
"173","i wish i had a",4,"i wish i had","a","i","i wish","i wish i","wish","i","had"
"174","i wish that i could",4,"i wish that i","could","i","i wish","i wish that","wish","that","i"
"175","i would love to see",4,"i would love to","see","i","i would","i would love","would","love","to"
"176","if you want to be",4,"if you want to","be","if","if you","if you want","you","want","to"
"177","in item c above pp",4,"in item c above","pp","in","in item","in item c","item","c","above"
"178","incorporated in item c above",4,"incorporated in item c","above","incorporated","incorporated in","incorporated in item","in","item","c"
"179","is going to be one",4,"is going to be","one","is","is going","is going to","going","to","be"
"180","it is not that i",4,"it is not that","i","it","it is","it is not","is","not","that"
"181","it is the end of",4,"it is the end","of","it","it is","it is the","is","the","end"
"182","it would mean the world",4,"it would mean the","world","it","it would","it would mean","would","mean","the"
"183","keep an eye out for",4,"keep an eye out","for","keep","keep an","keep an eye","an","eye","out"
"184","looking forward to seeing the",4,"looking forward to seeing","the","looking","looking forward","looking forward to","forward","to","seeing"
"185","make sure to stop by",4,"make sure to stop","by","make","make sure","make sure to","sure","to","stop"
"186","may the th be with",4,"may the th be","with","may","may the","may the th","the","th","be"
"187","not want to be a",4,"not want to be","a","not","not want","not want to","want","to","be"
"188","off to a great start",4,"off to a great","start","off","off to","off to a","to","a","great"
"189","on and on and on",4,"on and on and","on","on","on and","on and on","and","on","and"
"190","on my way to the",4,"on my way to","the","on","on my","on my way","my","way","to"
"191","on the other hand is",4,"on the other hand","is","on","on the","on the other","the","other","hand"
"192","president of the united states",4,"president of the united","states","president","president of","president of the","of","the","united"
"193","thank you for the rt",4,"thank you for the","rt","thank","thank you","thank you for","you","for","the"
"194","thanks so much for your",4,"thanks so much for","your","thanks","thanks so","thanks so much","so","much","for"
"195","that is what i thought",4,"that is what i","thought","that","that is","that is what","is","what","i"
"196","the crap out of me",4,"the crap out of","me","the","the crap","the crap out","crap","out","of"
"197","the end of the day",4,"the end of the","day","the","the end","the end of","end","of","the"
"198","the first time that i",4,"the first time that","i","the","the first","the first time","first","time","that"
"199","the rest of the world",4,"the rest of the","world","the","the rest","the rest of","rest","of","the"
"200","the th be with you",4,"the th be with","you","the","the th","the th be","th","be","with"
"201","there is a difference between",4,"there is a difference","between","there","there is","there is a","is","a","difference"
"202","there seems to be a",4,"there seems to be","a","there","there seems","there seems to","seems","to","be"
"203","they do not have the",4,"they do not have","the","they","they do","they do not","do","not","have"
"204","think i am going to",4,"think i am going","to","think","think i","think i am","i","am","going"
"205","time to get to work",4,"time to get to","work","time","time to","time to get","to","get","to"
"206","to come up with a",4,"to come up with","a","to","to come","to come up","come","up","with"
"207","to everyone who came out",4,"to everyone who came","out","to","to everyone","to everyone who","everyone","who","came"
"208","to the end of the",4,"to the end of","the","to","to the","to the end","the","end","of"
"209","we are going to be",4,"we are going to","be","we","we are","we are going","are","going","to"
"210","we do not know what",4,"we do not know","what","we","we do","we do not","do","not","know"
"211","we look forward to seeing",4,"we look forward to","seeing","we","we look","we look forward","look","forward","to"
"212","we may or may not",4,"we may or may","not","we","we may","we may or","may","or","may"
"213","what is going on in",4,"what is going on","in","what","what is","what is going","is","going","on"
"214","would love to have you",4,"would love to have","you","would","would love","would love to","love","to","have"
"215","would love to hear your",4,"would love to hear","your","would","would love","would love to","love","to","hear"
"216","would love to see you",4,"would love to see","you","would","would love","would love to","love","to","see"
"217","you do not need to",4,"you do not need","to","you","you do","you do not","do","not","need"
"218","you know what i mean",4,"you know what i","mean","you","you know","you know what","know","what","i"
"219","a few of my favorite",3,"a few of my","favorite","a","a few","a few of","few","of","my"
"220","a few weeks ago i",3,"a few weeks ago","i","a","a few","a few weeks","few","weeks","ago"
"221","a few years ago i",3,"a few years ago","i","a","a few","a few years","few","years","ago"
"222","a force to be reckoned",3,"a force to be","reckoned","a","a force","a force to","force","to","be"
"223","a good friend of mine",3,"a good friend of","mine","a","a good","a good friend","good","friend","of"
"224","a good place to start",3,"a good place to","start","a","a good","a good place","good","place","to"
"225","a little bit of a",3,"a little bit of","a","a","a little","a little bit","little","bit","of"
"226","a lot of time to",3,"a lot of time","to","a","a lot","a lot of","lot","of","time"
"227","a mi run with a",3,"a mi run with","a","a","a mi","a mi run","mi","run","with"
"228","a waste of time and",3,"a waste of time","and","a","a waste","a waste of","waste","of","time"
"229","after a long day of",3,"after a long day","of","after","after a","after a long","a","long","day"
"230","all i know is that",3,"all i know is","that","all","all i","all i know","i","know","is"
"231","all is well with you",3,"all is well with","you","all","all is","all is well","is","well","with"
"232","all over the place i",3,"all over the place","i","all","all over","all over the","over","the","place"
"233","all you have to do",3,"all you have to","do","all","all you","all you have","you","have","to"
"234","am going to have to",3,"am going to have","to","am","am going","am going to","going","to","have"
"235","am i the only one",3,"am i the only","one","am","am i","am i the","i","the","only"
"236","am not that the truth",3,"am not that the","truth","am","am not","am not that","not","that","the"
"237","am so proud of him",3,"am so proud of","him","am","am so","am so proud","so","proud","of"
"238","am still trying to figure",3,"am still trying to","figure","am","am still","am still trying","still","trying","to"
"239","and i am pretty sure",3,"and i am pretty","sure","and","and i","and i am","i","am","pretty"
"240","and i am so happy",3,"and i am so","happy","and","and i","and i am","i","am","so"
"241","and i are going to",3,"and i are going","to","and","and i","and i are","i","are","going"
"242","and i do not have",3,"and i do not","have","and","and i","and i do","i","do","not"
"243","and i do not think",3,"and i do not","think","and","and i","and i do","i","do","not"
"244","and i do not want",3,"and i do not","want","and","and i","and i do","i","do","not"
"245","and i just can not",3,"and i just can","not","and","and i","and i just","i","just","can"
"246","and i wanted to give",3,"and i wanted to","give","and","and i","and i wanted","i","wanted","to"
"247","and let me tell you",3,"and let me tell","you","and","and let","and let me","let","me","tell"
"248","are in the process of",3,"are in the process","of","are","are in","are in the","in","the","process"
"249","are leading the way in",3,"are leading the way","in","are","are leading","are leading the","leading","the","way"
"250","as far as i am",3,"as far as i","am","as","as far","as far as","far","as","i"
"251","as long as it is",3,"as long as it","is","as","as long","as long as","long","as","it"
"252","as long as you are",3,"as long as you","are","as","as long","as long as","long","as","you"
"253","as soon as i get",3,"as soon as i","get","as","as soon","as soon as","soon","as","i"
"254","as you can see from",3,"as you can see","from","as","as you","as you can","you","can","see"
"255","at the beginning of the",3,"at the beginning of","the","at","at the","at the beginning","the","beginning","of"
"256","at the bottom of this",3,"at the bottom of","this","at","at the","at the bottom","the","bottom","of"
"257","at the same time but",3,"at the same time","but","at","at the","at the same","the","same","time"
"258","at the same time the",3,"at the same time","the","at","at the","at the same","the","same","time"
"259","at the time of the",3,"at the time of","the","at","at the","at the time","the","time","of"
"260","be sure to check out",3,"be sure to check","out","be","be sure","be sure to","sure","to","check"
"261","because i do not want",3,"because i do not","want","because","because i","because i do","i","do","not"
"262","been in and out of",3,"been in and out","of","been","been in","been in and","in","and","out"
"263","been on here in forever",3,"been on here in","forever","been","been on","been on here","on","here","in"
"264","brought tears to my eyes",3,"brought tears to my","eyes","brought","brought tears","brought tears to","tears","to","my"
"265","but for the most part",3,"but for the most","part","but","but for","but for the","for","the","most"
"266","but i can not wait",3,"but i can not","wait","but","but i","but i can","i","can","not"
"267","but i can tell you",3,"but i can tell","you","but","but i","but i can","i","can","tell"
"268","but i do not care",3,"but i do not","care","but","but i","but i do","i","do","not"
"269","but i had no idea",3,"but i had no","idea","but","but i","but i had","i","had","no"
"270","but if you want to",3,"but if you want","to","but","but if","but if you","if","you","want"
"271","but wait there is more",3,"but wait there is","more","but","but wait","but wait there","wait","there","is"
"272","by the end of the",3,"by the end of","the","by","by the","by the end","the","end","of"
"273","by the end of this",3,"by the end of","this","by","by the","by the end","the","end","of"
"274","call me crazy but i",3,"call me crazy but","i","call","call me","call me crazy","me","crazy","but"
"275","can make a huge difference",3,"can make a huge","difference","can","can make","can make a","make","a","huge"
"276","can not believe i am",3,"can not believe i","am","can","can not","can not believe","not","believe","i"
"277","can not believe i have",3,"can not believe i","have","can","can not","can not believe","not","believe","i"
"278","can not decide if i",3,"can not decide if","i","can","can not","can not decide","not","decide","if"
"279","can not wait till i",3,"can not wait till","i","can","can not","can not wait","not","wait","till"
"280","can not wait to go",3,"can not wait to","go","can","can not","can not wait","not","wait","to"
"281","can not wait to start",3,"can not wait to","start","can","can not","can not wait","not","wait","to"
"282","case you did not know",3,"case you did not","know","case","case you","case you did","you","did","not"
"283","chicago illinois incorporated in item",3,"chicago illinois incorporated in","item","chicago","chicago illinois","chicago illinois incorporated","illinois","incorporated","in"
"284","could not get it to",3,"could not get it","to","could","could not","could not get","not","get","it"
"285","day to all the mothers",3,"day to all the","mothers","day","day to","day to all","to","all","the"
"286","did not anyone tell me",3,"did not anyone tell","me","did","did not","did not anyone","not","anyone","tell"
"287","did not know how to",3,"did not know how","to","did","did not","did not know","not","know","how"
"288","did not think it was",3,"did not think it","was","did","did not","did not think","not","think","it"
"289","do not get me started",3,"do not get me","started","do","do not","do not get","not","get","me"
"290","do not have time to",3,"do not have time","to","do","do not","do not have","not","have","time"
"291","do not know about you",3,"do not know about","you","do","do not","do not know","not","know","about"
"292","do not know if i",3,"do not know if","i","do","do not","do not know","not","know","if"
"293","do not know much about",3,"do not know much","about","do","do not","do not know","not","know","much"
"294","do not need to be",3,"do not need to","be","do","do not","do not need","not","need","to"
"295","do not think i am",3,"do not think i","am","do","do not","do not think","not","think","i"
"296","do not want to get",3,"do not want to","get","do","do not","do not want","not","want","to"
"297","do not want to miss",3,"do not want to","miss","do","do not","do not want","not","want","to"
"298","do not you just love",3,"do not you just","love","do","do not","do not you","not","you","just"
"299","do you know what i",3,"do you know what","i","do","do you","do you know","you","know","what"
"300","during the s and s",3,"during the s and","s","during","during the","during the s","the","s","and"
"301","everyone have a great weekend",3,"everyone have a great","weekend","everyone","everyone have","everyone have a","have","a","great"
"302","far as i am concerned",3,"far as i am","concerned","far","far as","far as i","as","i","am"
"303","for the first time today",3,"for the first time","today","for","for the","for the first","the","first","time"
"304","for the next two weeks",3,"for the next two","weeks","for","for the","for the next","the","next","two"
"305","for the rt about our",3,"for the rt about","our","for","for the","for the rt","the","rt","about"
"306","for those of us who",3,"for those of us","who","for","for those","for those of","those","of","us"
"307","for those of you that",3,"for those of you","that","for","for those","for those of","those","of","you"
"308","force to be reckoned with",3,"force to be reckoned","with","force","force to","force to be","to","be","reckoned"
"309","forward to seeing you there",3,"forward to seeing you","there","forward","forward to","forward to seeing","to","seeing","you"
"310","from the rest of the",3,"from the rest of","the","from","from the","from the rest","the","rest","of"
"311","going to be able to",3,"going to be able","to","going","going to","going to be","to","be","able"
"312","got to be kidding me",3,"got to be kidding","me","got","got to","got to be","to","be","kidding"
"313","had a lot of fun",3,"had a lot of","fun","had","had a","had a lot","a","lot","of"
"314","happy mothers day to my",3,"happy mothers day to","my","happy","happy mothers","happy mothers day","mothers","day","to"
"315","happy new year to you",3,"happy new year to","you","happy","happy new","happy new year","new","year","to"
"316","have a lot of time",3,"have a lot of","time","have","have a","have a lot","a","lot","of"
"317","have got to be kidding",3,"have got to be","kidding","have","have got","have got to","got","to","be"
"318","havent been on here in",3,"havent been on here","in","havent","havent been","havent been on","been","on","here"
"319","he was one of the",3,"he was one of","the","he","he was","he was one","was","one","of"
"320","hope all is well with",3,"hope all is well","with","hope","hope all","hope all is","all","is","well"
"321","hope to see you all",3,"hope to see you","all","hope","hope to","hope to see","to","see","you"
"322","hope you all have a",3,"hope you all have","a","hope","hope you","hope you all","you","all","have"
"323","hope you have an amazing",3,"hope you have an","amazing","hope","hope you","hope you have","you","have","an"
"324","how to get rid of",3,"how to get rid","of","how","how to","how to get","to","get","rid"
"325","i am following you now",3,"i am following you","now","i","i am","i am following","am","following","you"
"326","i am going to go",3,"i am going to","go","i","i am","i am going","am","going","to"
"327","i am going to have",3,"i am going to","have","i","i am","i am going","am","going","to"
"328","i am going to miss",3,"i am going to","miss","i","i am","i am going","am","going","to"
"329","i am going to start",3,"i am going to","start","i","i am","i am going","am","going","to"
"330","i am going to try",3,"i am going to","try","i","i am","i am going","am","going","to"
"331","i am not so sure",3,"i am not so","sure","i","i am","i am not","am","not","so"
"332","i am on my way",3,"i am on my","way","i","i am","i am on","am","on","my"
"333","i am pretty sure that",3,"i am pretty sure","that","i","i am","i am pretty","am","pretty","sure"
"334","i am ready to be",3,"i am ready to","be","i","i am","i am ready","am","ready","to"
"335","i am so excited to",3,"i am so excited","to","i","i am","i am so","am","so","excited"
"336","i am so glad i",3,"i am so glad","i","i","i am","i am so","am","so","glad"
"337","i am still trying to",3,"i am still trying","to","i","i am","i am still","am","still","trying"
"338","i am thankful for the",3,"i am thankful for","the","i","i am","i am thankful","am","thankful","for"
"339","i can not believe how",3,"i can not believe","how","i","i can","i can not","can","not","believe"
"340","i can not make it",3,"i can not make","it","i","i can","i can not","can","not","make"
"341","i can not think of",3,"i can not think","of","i","i can","i can not","can","not","think"
"342","i could not be happier",3,"i could not be","happier","i","i could","i could not","could","not","be"
"343","i did not know what",3,"i did not know","what","i","i did","i did not","did","not","know"
"344","i do not have much",3,"i do not have","much","i","i do","i do not","do","not","have"
"345","i feel like i have",3,"i feel like i","have","i","i feel","i feel like","feel","like","i"
"346","i fell in love with",3,"i fell in love","with","i","i fell","i fell in","fell","in","love"
"347","i had no idea how",3,"i had no idea","how","i","i had","i had no","had","no","idea"
"348","i hate it when i",3,"i hate it when","i","i","i hate","i hate it","hate","it","when"
"349","i have a lot of",3,"i have a lot","of","i","i have","i have a","have","a","lot"
"350","i have been waiting for",3,"i have been waiting","for","i","i have","i have been","have","been","waiting"
"351","i have come to the",3,"i have come to","the","i","i have","i have come","have","come","to"
"352","i have got to say",3,"i have got to","say","i","i have","i have got","have","got","to"
"353","i have no idea how",3,"i have no idea","how","i","i have","i have no","have","no","idea"
"354","i havent been on in",3,"i havent been on","in","i","i havent","i havent been","havent","been","on"
"355","i hope you have an",3,"i hope you have","an","i","i hope","i hope you","hope","you","have"
"356","i just want to go",3,"i just want to","go","i","i just","i just want","just","want","to"
"357","i know that i am",3,"i know that i","am","i","i know","i know that","know","that","i"
"358","i like the idea of",3,"i like the idea","of","i","i like","i like the","like","the","idea"
"359","i need to go to",3,"i need to go","to","i","i need","i need to","need","to","go"
"360","i never thought i would",3,"i never thought i","would","i","i never","i never thought","never","thought","i"
"361","i think it is safe",3,"i think it is","safe","i","i think","i think it","think","it","is"
"362","i think it is time",3,"i think it is","time","i","i think","i think it","think","it","is"
"363","i think it would be",3,"i think it would","be","i","i think","i think it","think","it","would"
"364","i thought it was just",3,"i thought it was","just","i","i thought","i thought it","thought","it","was"
"365","i want to be a",3,"i want to be","a","i","i want","i want to","want","to","be"
"366","i wanted to make it",3,"i wanted to make","it","i","i wanted","i wanted to","wanted","to","make"
"367","i was just thinking that",3,"i was just thinking","that","i","i was","i was just","was","just","thinking"
"368","i was looking forward to",3,"i was looking forward","to","i","i was","i was looking","was","looking","forward"
