"","word","freq","first_Nmin1","last"
"264","is an",131,"is","an"
"265","i should",130,"i","should"
"266","is my",130,"is","my"
"267","at all",128,"at","all"
"268","hope you",128,"hope","you"
"269","of his",128,"of","his"
"270","we were",128,"we","were"
"271","you for",128,"you","for"
"272","could not",127,"could","not"
"273","let me",127,"let","me"
"274","which is",127,"which","is"
"275","out to",126,"out","to"
"276","up and",126,"up","and"
"277","a big",125,"a","big"
"278","a long",125,"a","long"
"279","just a",125,"just","a"
"280","this year",125,"this","year"
"281","see the",124,"see","the"
"282","time i",124,"time","i"
"283","it i",123,"it","i"
"284","me a",123,"me","a"
"285","on this",123,"on","this"
"286","that he",123,"that","he"
"287","feel like",122,"feel","like"
"288","up in",122,"up","in"
"289","and my",121,"and","my"
"290","make it",121,"make","it"
"291","of their",121,"of","their"
"292","used to",121,"used","to"
"293","and they",120,"and","they"
"294","looking for",120,"looking","for"
"295","take a",120,"take","a"
"296","to give",120,"to","give"
"297","about it",119,"about","it"
"298","it and",119,"it","and"
"299","is in",118,"is","in"
"300","is just",118,"is","just"
"301","with me",118,"with","me"
"302","lots of",117,"lots","of"
"303","to find",117,"to","find"
"304","has a",116,"has","a"
"305","is what",116,"is","what"
"306","know that",116,"know","that"
"307","am going",115,"am","going"
"308","off the",115,"off","the"
"309","get to",114,"get","to"
"310","are going",113,"are","going"
"311","not even",113,"not","even"
"312","to keep",113,"to","keep"
"313","to use",113,"to","use"
"314","and he",112,"and","he"
"315","decided to",112,"decided","to"
"316","of us",112,"of","us"
"317","on your",112,"on","your"
"318","check out",111,"check","out"
"319","from a",111,"from","a"
"320","not get",111,"not","get"
"321","to come",111,"to","come"
"322","what a",111,"what","a"
"323","into a",110,"into","a"
"324","after the",109,"after","the"
"325","around the",109,"around","the"
"326","for this",109,"for","this"
"327","it in",109,"it","in"
"328","out the",109,"out","the"
"329","to all",109,"to","all"
"330","to our",109,"to","our"
"331","try to",109,"try","to"
"332","be in",108,"be","in"
"333","i wish",108,"i","wish"
"334","to start",108,"to","start"
"335","went to",108,"went","to"
"336","get the",107,"get","the"
"337","love to",107,"love","to"
"338","you should",107,"you","should"
"339","you think",107,"you","think"
"340","know i",106,"know","i"
"341","like i",106,"like","i"
"342","so many",106,"so","many"
"343","to hear",106,"to","hear"
"344","you need",106,"you","need"
"345","my favorite",105,"my","favorite"
"346","not want",105,"not","want"
"347","we do",105,"we","do"
"348","you get",105,"you","get"
"349","could be",104,"could","be"
"350","that are",104,"that","are"
"351","to help",104,"to","help"
"352","will have",104,"will","have"
"353","you guys",104,"you","guys"
"354","a couple",103,"a","couple"
"355","ready to",102,"ready","to"
"356","the rest",102,"the","rest"
"357","then i",102,"then","i"
"358","time for",102,"time","for"
"359","would like",102,"would","like"
"360","to watch",101,"to","watch"
"361","you would",101,"you","would"
"362","are in",100,"are","in"
"363","by a",100,"by","a"
"364","instead of",100,"instead","of"
"365","is no",100,"is","no"
"366","it out",100,"it","out"
"367","love the",100,"love","the"
"368","new york",100,"new","york"
"369","of these",100,"of","these"
"370","too much",100,"too","much"
"371","wait to",100,"wait","to"
"372","would not",100,"would","not"
"373","do i",99,"do","i"
"374","it has",99,"it","has"
"375","of that",99,"of","that"
"376","the right",99,"the","right"
"377","what the",99,"what","the"
"378","and all",98,"and","all"
"379","and in",98,"and","in"
"380","during the",98,"during","the"
"381","had been",98,"had","been"
"382","the follow",98,"the","follow"
"383","be able",97,"be","able"
"384","got to",97,"got","to"
"385","i wanted",97,"i","wanted"
"386","is one",97,"is","one"
"387","the house",96,"the","house"
"388","up for",96,"up","for"
"389","you were",96,"you","were"
"390","am so",95,"am","so"
"391","at pm",95,"at","pm"
"392","because of",95,"because","of"
"393","for our",95,"for","our"
"394","like it",95,"like","it"
"395","looks like",95,"looks","like"
"396","when we",95,"when","we"
"397","for all",94,"for","all"
"398","have you",94,"have","you"
"399","is still",94,"is","still"
"400","most of",94,"most","of"
"401","need a",94,"need","a"
"402","out there",94,"out","there"
"403","thanks to",94,"thanks","to"
"404","is on",93,"is","on"
"405","looking forward",93,"looking","forward"
"406","to your",93,"to","your"
"407","when he",93,"when","he"
"408","get it",92,"get","it"
"409","i see",92,"i","see"
"410","years ago",92,"years","ago"
"411","a day",91,"a","day"
"412","are so",91,"are","so"
"413","as it",91,"as","it"
"414","back in",91,"back","in"
"415","been a",91,"been","a"
"416","if the",91,"if","the"
"417","may be",91,"may","be"
"418","on twitter",91,"on","twitter"
"419","this morning",91,"this","morning"
"420","happy birthday",90,"happy","birthday"
"421","if it",90,"if","it"
"422","listening to",90,"listening","to"
"423","and his",89,"and","his"
"424","but you",89,"but","you"
"425","rest of",89,"rest","of"
"426","the book",89,"the","book"
"427","the people",89,"the","people"
"428","the top",89,"the","top"
"429","them to",89,"them","to"
"430","can do",88,"can","do"
"431","come to",88,"come","to"
"432","for an",88,"for","an"
"433","for some",88,"for","some"
"434","i also",88,"i","also"
"435","know how",88,"know","how"
"436","this was",88,"this","was"
"437","was in",88,"was","in"
"438","as you",87,"as","you"
"439","is your",87,"is","your"
"440","my own",87,"my","own"
"441","say that",87,"say","that"
"442","the whole",87,"the","whole"
"443","and have",86,"and","have"
"444","and if",86,"and","if"
"445","how much",86,"how","much"
"446","in that",86,"in","that"
"447","the big",86,"the","big"
"448","well as",86,"well","as"
"449","i saw",85,"i","saw"
"450","i used",85,"i","used"
"451","in and",85,"in","and"
"452","look at",85,"look","at"
"453","ready for",85,"ready","for"
"454","think it",85,"think","it"
"455","we had",85,"we","had"
"456","wish i",85,"wish","i"
"457","with your",85,"with","your"
"458","i cant",84,"i","cant"
"459","i miss",84,"i","miss"
"460","i went",84,"i","went"
"461","it all",84,"it","all"
"462","like that",84,"like","that"
"463","not sure",84,"not","sure"
"464","of her",84,"of","her"
"465","they will",84,"they","will"
"466","this weekend",84,"this","weekend"
"467","up on",84,"up","on"
"468","when it",84,"when","it"
"469","when they",84,"when","they"
"470","according to",83,"according","to"
"471","and to",83,"and","to"
"472","is like",83,"is","like"
"473","it does",83,"it","does"
"474","of those",83,"of","those"
"475","that she",83,"that","she"
"476","the game",83,"the","game"
"477","all my",82,"all","my"
"478","enough to",82,"enough","to"
"479","i still",82,"i","still"
"480","if they",82,"if","they"
"481","people who",82,"people","who"
"482","to read",82,"to","read"
"483","to try",82,"to","try"
"484","today i",82,"today","i"
"485","away from",81,"away","from"
"486","if we",81,"if","we"
"487","in their",81,"in","their"
"488","its a",81,"its","a"
"489","just got",81,"just","got"
"490","no one",81,"no","one"
"491","or a",81,"or","a"
"492","than the",81,"than","the"
"493","the fact",81,"the","fact"
"494","they do",81,"they","do"
"495","well i",81,"well","i"
"496","i havent",80,"i","havent"
"497","i made",80,"i","made"
"498","in an",80,"in","an"
"499","that would",80,"that","would"
"500","with it",80,"with","it"
"501","would love",80,"would","love"
"502","and more",79,"and","more"
"503","bit of",79,"bit","of"
"504","but not",79,"but","not"
"505","i knew",79,"i","knew"
"506","me that",79,"me","that"
"507","so that",79,"so","that"
"508","the th",79,"the","th"
"509","this time",79,"this","time"
"510","what do",79,"what","do"
"511","who are",79,"who","are"
"512","fact that",78,"fact","that"
"513","for it",78,"for","it"
"514","hard to",78,"hard","to"
"515","make the",78,"make","the"
"516","makes me",78,"makes","me"
"517","or the",78,"or","the"
"518","out and",78,"out","and"
"519","the past",78,"the","past"
"520","we would",78,"we","would"
"521","because it",77,"because","it"
"522","before the",77,"before","the"
"523","better than",77,"better","than"
"524","day of",77,"day","of"
"525","each other",77,"each","other"
"526","have no",77,"have","no"
"527","having a",77,"having","a"
"528","out for",77,"out","for"
"529","should have",77,"should","have"
"530","the show",77,"the","show"
"531","their own",77,"their","own"
"532","those who",77,"those","who"
"533","to put",77,"to","put"
"534","to share",77,"to","share"
"535","we need",77,"we","need"
"536","about to",76,"about","to"
"537","and not",76,"and","not"
"538","couple of",76,"couple","of"
"539","first time",76,"first","time"
"540","going on",76,"going","on"
"541","is good",76,"is","good"
"542","might be",76,"might","be"
"543","my mom",76,"my","mom"
"544","not think",76,"not","think"
"545","to this",76,"to","this"
"546","you all",76,"you","all"
"547","you could",76,"you","could"
"548","make sure",75,"make","sure"
"549","think of",75,"think","of"
"550","think that",75,"think","that"
"551","to talk",75,"to","talk"
"552","a small",74,"a","small"
"553","a week",74,"a","week"
"554","all i",74,"all","i"
"555","and get",74,"and","get"
"556","he has",74,"he","has"
"557","he said",74,"he","said"
"558","i found",74,"i","found"
"559","i mean",74,"i","mean"
"560","is all",74,"is","all"
"561","life is",74,"life","is"
"562","like this",74,"like","this"
"563","listen to",74,"listen","to"
"564","love it",74,"love","it"
"565","such as",74,"such","as"
"566","to tell",74,"to","tell"
"567","was so",74,"was","so"
"568","what are",74,"what","are"
"569","you i",74,"you","i"
"570","about a",73,"about","a"
"571","after a",73,"after","a"
"572","am in",73,"am","in"
"573","it a",73,"it","a"
"574","so far",73,"so","far"
"575","so we",73,"so","we"
"576","tell you",73,"tell","you"
"577","that will",73,"that","will"
"578","the year",73,"the","year"
"579","before i",72,"before","i"
"580","him to",72,"him","to"
"581","last week",72,"last","week"
"582","off to",72,"off","to"
"583","the story",72,"the","story"
"584","we all",72,"we","all"
"585","a huge",71,"a","huge"
"586","a while",71,"a","while"
"587","for her",71,"for","her"
"588","good morning",71,"good","morning"
"589","has to",71,"has","to"
"590","must be",71,"must","be"
"591","not only",71,"not","only"
"592","people are",71,"people","are"
"593","so you",71,"so","you"
"594","there were",71,"there","were"
"595","to his",71,"to","his"
"596","what we",71,"what","we"
"597","with her",71,"with","her"
"598","working on",71,"working","on"
"599","you a",71,"you","a"
"600","you in",71,"you","in"
"601","a year",70,"a","year"
"602","but we",70,"but","we"
"603","have an",70,"have","an"
"604","last year",70,"last","year"
"605","the future",70,"the","future"
"606","the more",70,"the","more"
"607","to sleep",70,"to","sleep"
"608","up a",70,"up","a"
"609","wants to",70,"wants","to"
"610","was going",70,"was","going"
"611","what it",70,"what","it"
"612","which i",70,"which","i"
"613","a nice",69,"a","nice"
"614","all that",69,"all","that"
"615","and now",69,"and","now"
"616","down the",69,"down","the"
"617","full of",69,"full","of"
"618","have had",69,"have","had"
"619","i never",69,"i","never"
"620","talking about",69,"talking","about"
"621","to meet",69,"to","meet"
"622","where i",69,"where","i"
"623","yes i",69,"yes","i"
"624","and is",68,"and","is"
"625","but they",68,"but","they"
"626","good luck",68,"good","luck"
"627","have never",68,"have","never"
"628","here in",68,"here","in"
"629","is also",68,"is","also"
"630","my friend",68,"my","friend"
"631","needs to",68,"needs","to"
"632","of what",68,"of","what"
"633","on it",68,"on","it"
"634","the word",68,"the","word"
"635","they can",68,"they","can"
"636","to win",68,"to","win"
"637","will never",68,"will","never"
"638","am i",67,"am","i"
"639","are all",67,"are","all"
"640","at this",67,"at","this"
"641","can get",67,"can","get"
"642","from my",67,"from","my"
"643","i said",67,"i","said"
"644","it for",67,"it","for"
"645","not just",67,"not","just"
"646","of time",67,"of","time"
"647","talk about",67,"talk","about"
"648","to her",67,"to","her"
"649","to stop",67,"to","stop"
"650","to their",67,"to","their"
"651","us to",67,"us","to"
"652","wait for",67,"wait","for"
"653","with his",67,"with","his"
"654","a time",66,"a","time"
"655","a way",66,"a","way"
"656","and she",66,"and","she"
"657","and so",66,"and","so"
"658","and there",66,"and","there"
"659","at my",66,"at","my"
"660","being a",66,"being","a"
"661","can see",66,"can","see"
"662","have got",66,"have","got"
"663","he had",66,"he","had"
"664","in order",66,"in","order"
"665","interested in",66,"interested","in"
"666","is now",66,"is","now"
"667","not really",66,"not","really"
"668","she has",66,"she","has"
"669","tell me",66,"tell","me"
"670","that has",66,"that","has"
"671","that this",66,"that","this"
"672","the middle",66,"the","middle"
"673","the second",66,"the","second"
"674","to play",66,"to","play"
"675","will get",66,"will","get"
"676","with an",66,"with","an"
"677","can you",65,"can","you"
"678","do that",65,"do","that"
"679","it on",65,"it","on"
"680","know it",65,"know","it"
"681","mothers day",65,"mothers","day"
"682","my head",65,"my","head"
"683","the back",65,"the","back"
"684","to look",65,"to","look"
"685","tried to",65,"tried","to"
"686","you just",65,"you","just"
"687","as he",64,"as","he"
"688","as we",64,"as","we"
"689","did i",64,"did","i"
"690","do the",64,"do","the"
"691","do with",64,"do","with"
"692","for their",64,"for","their"
"693","front of",64,"front","of"
"694","good to",64,"good","to"
"695","i always",64,"i","always"
"696","is always",64,"is","always"
"697","look like",64,"look","like"
"698","my first",64,"my","first"
"699","no longer",64,"no","longer"
"700","number of",64,"number","of"
"701","of people",64,"of","people"
"702","on his",64,"on","his"
"703","one day",64,"one","day"
"704","seems to",64,"seems","to"
"705","think about",64,"think","about"
"706","to live",64,"to","live"
"707","to write",64,"to","write"
"708","you so",64,"you","so"
"709","a man",63,"a","man"
"710","and other",63,"and","other"
"711","can i",63,"can","i"
"712","day i",63,"day","i"
"713","how it",63,"how","it"
"714","i say",63,"i","say"
"715","it but",63,"it","but"
"716","talk to",63,"talk","to"
"717","where you",63,"where","you"
"718","against the",62,"against","the"
"719","all day",62,"all","day"
"720","gonna be",62,"gonna","be"
"721","in fact",62,"in","fact"
"722","in it",62,"in","it"
"723","it up",62,"it","up"
"724","my new",62,"my","new"
"725","not that",62,"not","that"
"726","or not",62,"or","not"
"727","out in",62,"out","in"
"728","rather than",62,"rather","than"
"729","since i",62,"since","i"
"730","so it",62,"so","it"
"731","the city",62,"the","city"
"732","the kids",62,"the","kids"
"733","to it",62,"to","it"
"734","to think",62,"to","think"
"735","was just",62,"was","just"
"736","while i",62,"while","i"
"737","with all",62,"with","all"
"738","and some",61,"and","some"
"739","and will",61,"and","will"
"740","as an",61,"as","an"
"741","be there",61,"be","there"
"742","chance to",61,"chance","to"
"743","even if",61,"even","if"
"744","for those",61,"for","those"
"745","how do",61,"how","do"
"746","how i",61,"how","i"
"747","im not",61,"im","not"
"748","know you",61,"know","you"
"749","live in",61,"live","in"
"750","made a",61,"made","a"
"751","that a",61,"that","a"
"752","the us",61,"the","us"
"753","them and",61,"them","and"
"754","to him",61,"to","him"
"755","waiting for",61,"waiting","for"
"756","why i",61,"why","i"
"757","and how",60,"and","how"
"758","and what",60,"and","what"
"759","and when",60,"and","when"
"760","at am",60,"at","am"
"761","be on",60,"be","on"
"762","but he",60,"but","he"
"763","could have",60,"could","have"
"764","do a",60,"do","a"
"765","for more",60,"for","more"
"766","had the",60,"had","the"
"767","he would",60,"he","would"
"768","is been",60,"is","been"
"769","is very",60,"is","very"
"770","next week",60,"next","week"
"771","would you",60,"would","you"
"772","excited to",59,"excited","to"
"773","he did",59,"he","did"
"774","i didnt",59,"i","didnt"
"775","i might",59,"i","might"
"776","just as",59,"just","as"
"777","made me",59,"made","me"
"778","me in",59,"me","in"
"779","much more",59,"much","more"
"780","my heart",59,"my","heart"
"781","not like",59,"not","like"
"782","of me",59,"of","me"
"783","out with",59,"out","with"
"784","rt i",59,"rt","i"
"785","supposed to",59,"supposed","to"
"786","the good",59,"the","good"
"787","the weekend",59,"the","weekend"
"788","top of",59,"top","of"
"789","with this",59,"with","this"
"790","with us",59,"with","us"
"791","a wonderful",58,"a","wonderful"
"792","as they",58,"as","they"
"793","based on",58,"based","on"
"794","coming to",58,"coming","to"
"795","even though",58,"even","though"
"796","in love",58,"in","love"
"797","its not",58,"its","not"
"798","make me",58,"make","me"
"799","my friends",58,"my","friends"
"800","my mind",58,"my","mind"
"801","not going",58,"not","going"
"802","seem to",58,"seem","to"
"803","the night",58,"the","night"
"804","to learn",58,"to","learn"
"805","to leave",58,"to","leave"
"806","we should",58,"we","should"
"807","what they",58,"what","they"
"808","are just",57,"are","just"
"809","as much",57,"as","much"
"810","at home",57,"at","home"
"811","day and",57,"day","and"
"812","day in",57,"day","in"
"813","every day",57,"every","day"
"814","for us",57,"for","us"
"815","has the",57,"has","the"
"816","him and",57,"him","and"
"817","in front",57,"in","front"
"818","in to",57,"in","to"
"819","in which",57,"in","which"
"820","is about",57,"is","about"
"821","is more",57,"is","more"
"822","is there",57,"is","there"
"823","is this",57,"is","this"
"824","made it",57,"made","it"
"825","now that",57,"now","that"
"826","on our",57,"on","our"
"827","order to",57,"order","to"
"828","they had",57,"they","had"
"829","they would",57,"they","would"
"830","though i",57,"though","i"
"831","time and",57,"time","and"
"832","to follow",57,"to","follow"
"833","under the",57,"under","the"
"834","until the",57,"until","the"
"835","what to",57,"what","to"
"836","you like",57,"you","like"
"837","and was",56,"and","was"
"838","close to",56,"close","to"
"839","have some",56,"have","some"
"840","he will",56,"he","will"
"841","how is",56,"how","is"
"842","how many",56,"how","many"
"843","i started",56,"i","started"
"844","like you",56,"like","you"
"845","not you",56,"not","you"
"846","out a",56,"out","a"
"847","that my",56,"that","my"
"848","that one",56,"that","one"
"849","the car",56,"the","car"
"850","the great",56,"the","great"
"851","the morning",56,"the","morning"
"852","were not",56,"were","not"
"853","why do",56,"why","do"
"854","you see",56,"you","see"
"855","your own",56,"your","own"
"856","a better",55,"a","better"
"857","and their",55,"and","their"
"858","as if",55,"as","if"
"859","due to",55,"due","to"
"860","i decided",55,"i","decided"
"861","know the",55,"know","the"
"862","me the",55,"me","the"
"863","on that",55,"on","that"
"864","same time",55,"same","time"
"865","side of",55,"side","of"
"866","that there",55,"that","there"
"867","the s",55,"the","s"
"868","about how",54,"about","how"
"869","across the",54,"across","the"
"870","all over",54,"all","over"
"871","and for",54,"and","for"
"872","and its",54,"and","its"
"873","because they",54,"because","they"
"874","between the",54,"between","the"
"875","for them",54,"for","them"
"876","get my",54,"get","my"
"877","here i",54,"here","i"
"878","here is",54,"here","is"
"879","hope to",54,"hope","to"
"880","it with",54,"it","with"
"881","looking at",54,"looking","at"
"882","many of",54,"many","of"
"883","me on",54,"me","on"
"884","on to",54,"on","to"
"885","say i",54,"say","i"
"886","she had",54,"she","had"
"887","some people",54,"some","people"
"888","the entire",54,"the","entire"
"889","the two",54,"the","two"
"890","thing i",54,"thing","i"
"891","to change",54,"to","change"
"892","to run",54,"to","run"
"893","us and",54,"us","and"
"894","where the",54,"where","the"
"895","all about",53,"all","about"
"896","amount of",53,"amount","of"
"897","down to",53,"down","to"
"898","for following",53,"for","following"
"899","i believe",53,"i","believe"
"900","i felt",53,"i","felt"
"901","in her",53,"in","her"
"902","may not",53,"may","not"
"903","more of",53,"more","of"
"904","on and",53,"on","and"
"905","proud of",53,"proud","of"
"906","the sun",53,"the","sun"
"907","will see",53,"will","see"
"908","yeah i",53,"yeah","i"
"909","your life",53,"your","life"
"910","at work",52,"at","work"
"911","do this",52,"do","this"
"912","for that",52,"for","that"
"913","got the",52,"got","the"
"914","i took",52,"i","took"
"915","if u",52,"if","u"
"916","is really",52,"is","really"
"917","is up",52,"is","up"
"918","just like",52,"just","like"
"919","me know",52,"me","know"
"920","me up",52,"me","up"
"921","miss you",52,"miss","you"
"922","on top",52,"on","top"
"923","see what",52,"see","what"
"924","she said",52,"she","said"
"925","sure to",52,"sure","to"
"926","the real",52,"the","real"
"927","the week",52,"the","week"
"928","things that",52,"things","that"
"929","to buy",52,"to","buy"
"930","to create",52,"to","create"
"931","to eat",52,"to","eat"
"932","to show",52,"to","show"
"933","to us",52,"to","us"
"934","today is",52,"today","is"
"935","we could",52,"we","could"
"936","while the",52,"while","the"
"937","with them",52,"with","them"
"938","a chance",51,"a","chance"
"939","a woman",51,"a","woman"
"940","about this",51,"about","this"
"941","and do",51,"and","do"
"942","and make",51,"and","make"
"943","and this",51,"and","this"
"944","are on",51,"are","on"
"945","but a",51,"but","a"
"946","but that",51,"but","that"
"947","find a",51,"find","a"
"948","have any",51,"have","any"
"949","how you",51,"how","you"
"950","i wanna",51,"i","wanna"
"951","it just",51,"it","just"
"952","me too",51,"me","too"
"953","middle of",51,"middle","of"
"954","no matter",51,"no","matter"
"955","not believe",51,"not","believe"
"956","of an",51,"of","an"
"957","should not",51,"should","not"
"958","so good",51,"so","good"
"959","sort of",51,"sort","of"
"960","than a",51,"than","a"
"961","time in",51,"time","in"
"962","was on",51,"was","on"
"963","we got",51,"we","got"
"964","with that",51,"with","that"
"965","you too",51,"you","too"
"966","a friend",50,"a","friend"
"967","are doing",50,"are","doing"
"968","dont know",50,"dont","know"
"969","i remember",50,"i","remember"
"970","in one",50,"in","one"
"971","long time",50,"long","time"
"972","nice to",50,"nice","to"
"973","not go",50,"not","go"
