"","word","freq","first_Nmin1","last","first","second"
"161","wait to see",40,"wait to","see","wait","to"
"162","do you think",39,"do you","think","do","you"
"163","for me to",39,"for me","to","for","me"
"164","i decided to",39,"i decided","to","i","decided"
"165","i was a",39,"i was","a","i","was"
"166","i was in",39,"i was","in","i","was"
"167","is a good",39,"is a","good","is","a"
"168","is not the",39,"is not","the","is","not"
"169","it is been",39,"it is","been","it","is"
"170","it is so",39,"it is","so","it","is"
"171","it was the",39,"it was","the","it","was"
"172","you are going",39,"you are","going","you","are"
"173","you for the",39,"you for","the","you","for"
"174","a long time",38,"a long","time","a","long"
"175","i have no",38,"i have","no","i","have"
"176","is the best",38,"is the","best","is","the"
"177","looking for a",38,"looking for","a","looking","for"
"178","need to be",38,"need to","be","need","to"
"179","there was a",38,"there was","a","there","was"
"180","there will be",38,"there will","be","there","will"
"181","we have to",38,"we have","to","we","have"
"182","what is your",38,"what is","your","what","is"
"183","but i do",37,"but i","do","but","i"
"184","but i have",37,"but i","have","but","i"
"185","do you have",37,"do you","have","do","you"
"186","feel like i",37,"feel like","i","feel","like"
"187","have to be",37,"have to","be","have","to"
"188","i am on",37,"i am","on","i","am"
"189","in my life",37,"in my","life","in","my"
"190","is a great",37,"is a","great","is","a"
"191","think it is",37,"think it","is","think","it"
"192","to be in",37,"to be","in","to","be"
"193","up in the",37,"up in","the","up","in"
"194","what are you",37,"what are","you","what","are"
"195","will have to",37,"will have","to","will","have"
"196","a little bit",36,"a little","bit","a","little"
"197","and i was",36,"and i","was","and","i"
"198","i am still",36,"i am","still","i","am"
"199","it in the",36,"it in","the","it","in"
"200","of my favorite",36,"of my","favorite","of","my"
"201","to make it",36,"to make","it","to","make"
"202","what is the",36,"what is","the","what","is"
"203","a great day",35,"a great","day","a","great"
"204","and we will",35,"and we","will","and","we"
"205","i was going",35,"i was","going","i","was"
"206","i went to",35,"i went","to","i","went"
"207","i would be",35,"i would","be","i","would"
"208","not have to",35,"not have","to","not","have"
"209","thanks so much",35,"thanks so","much","thanks","so"
"210","this is not",35,"this is","not","this","is"
"211","we need to",35,"we need","to","we","need"
"212","when i am",35,"when i","am","when","i"
"213","you can see",35,"you can","see","you","can"
"214","you will be",35,"you will","be","you","will"
"215","as soon as",34,"as soon","as","as","soon"
"216","did not have",34,"did not","have","did","not"
"217","happy mothers day",34,"happy mothers","day","happy","mothers"
"218","have to do",34,"have to","do","have","to"
"219","i am just",34,"i am","just","i","am"
"220","if it is",34,"if it","is","if","it"
"221","it is just",34,"it is","just","it","is"
"222","so much for",34,"so much","for","so","much"
"223","thank you so",34,"thank you","so","thank","you"
"224","to get the",34,"to get","the","to","get"
"225","all the time",33,"all the","time","all","the"
"226","as long as",33,"as long","as","as","long"
"227","can not believe",33,"can not","believe","can","not"
"228","do not need",33,"do not","need","do","not"
"229","i guess i",33,"i guess","i","i","guess"
"230","in love with",33,"in love","with","in","love"
"231","let us know",33,"let us","know","let","us"
"232","not have a",33,"not have","a","not","have"
"233","now i am",33,"now i","am","now","i"
"234","of the world",33,"of the","world","of","the"
"235","the united states",33,"the united","states","the","united"
"236","to get to",33,"to get","to","to","get"
"237","to take a",33,"to take","a","to","take"
"238","would be a",33,"would be","a","would","be"
"239","all the way",32,"all the","way","all","the"
"240","at the time",32,"at the","time","at","the"
"241","check it out",32,"check it","out","check","it"
"242","i am gonna",32,"i am","gonna","i","am"
"243","is such a",32,"is such","a","is","such"
"244","it is like",32,"it is","like","it","is"
"245","it is time",32,"it is","time","it","is"
"246","on top of",32,"on top","of","on","top"
"247","wish i could",32,"wish i","could","wish","i"
"248","you know what",32,"you know","what","you","know"
"249","as it is",31,"as it","is","as","it"
"250","as much as",31,"as much","as","as","much"
"251","i was not",31,"i was","not","i","was"
"252","i would not",31,"i would","not","i","would"
"253","is what i",31,"is what","i","is","what"
"254","just do not",31,"just do","not","just","do"
"255","most of the",31,"most of","the","most","of"
"256","side of the",31,"side of","the","side","of"
"257","to make the",31,"to make","the","to","make"
"258","to talk to",31,"to talk","to","to","talk"
"259","was able to",31,"was able","to","was","able"
"260","we have been",31,"we have","been","we","have"
"261","what i am",31,"what i","am","what","i"
"262","what to do",31,"what to","do","what","to"
"263","because it is",30,"because it","is","because","it"
"264","but it was",30,"but it","was","but","it"
"265","do not forget",30,"do not","forget","do","not"
"266","do not like",30,"do not","like","do","not"
"267","for a while",30,"for a","while","for","a"
"268","going to the",30,"going to","the","going","to"
"269","have a good",30,"have a","good","have","a"
"270","he is a",30,"he is","a","he","is"
"271","i have got",30,"i have","got","i","have"
"272","i like to",30,"i like","to","i","like"
"273","i miss you",30,"i miss","you","i","miss"
"274","i need a",30,"i need","a","i","need"
"275","i used to",30,"i used","to","i","used"
"276","i will never",30,"i will","never","i","will"
"277","in the same",30,"in the","same","in","the"
"278","is in the",30,"is in","the","is","in"
"279","not wait for",30,"not wait","for","not","wait"
"280","of my life",30,"of my","life","of","my"
"281","top of the",30,"top of","the","top","of"
"282","we have a",30,"we have","a","we","have"
"283","you are in",30,"you are","in","you","are"
"284","and if you",29,"and if","you","and","if"
"285","and in the",29,"and in","the","and","in"
"286","be sure to",29,"be sure","to","be","sure"
"287","did you know",29,"did you","know","did","you"
"288","he did not",29,"he did","not","he","did"
"289","how are you",29,"how are","you","how","are"
"290","i dont know",29,"i dont","know","i","dont"
"291","i have had",29,"i have","had","i","have"
"292","i will have",29,"i will","have","i","will"
"293","of all the",29,"of all","the","of","all"
"294","that i would",29,"that i","would","that","i"
"295","when it comes",29,"when it","comes","when","it"
"296","a bunch of",28,"a bunch","of","a","bunch"
"297","a part of",28,"a part","of","a","part"
"298","and we are",28,"and we","are","and","we"
"299","because i am",28,"because i","am","because","i"
"300","did not know",28,"did not","know","did","not"
"301","have to say",28,"have to","say","have","to"
"302","i am pretty",28,"i am","pretty","i","am"
"303","i have seen",28,"i have","seen","i","have"
"304","i think that",28,"i think","that","i","think"
"305","in terms of",28,"in terms","of","in","terms"
"306","in the future",28,"in the","future","in","the"
"307","in the past",28,"in the","past","in","the"
"308","it comes to",28,"it comes","to","it","comes"
"309","know how to",28,"know how","to","know","how"
"310","that is why",28,"that is","why","that","is"
"311","that would be",28,"that would","be","that","would"
"312","the idea of",28,"the idea","of","the","idea"
"313","they are not",28,"they are","not","they","are"
"314","thought it was",28,"thought it","was","thought","it"
"315","to figure out",28,"to figure","out","to","figure"
"316","to say that",28,"to say","that","to","say"
"317","trying to get",28,"trying to","get","trying","to"
"318","what you are",28,"what you","are","what","you"
"319","a few days",27,"a few","days","a","few"
"320","a way to",27,"a way","to","a","way"
"321","and of course",27,"and of","course","and","of"
"322","at this point",27,"at this","point","at","this"
"323","back in the",27,"back in","the","back","in"
"324","be in the",27,"be in","the","be","in"
"325","but i will",27,"but i","will","but","i"
"326","do not care",27,"do not","care","do","not"
"327","go back to",27,"go back","to","go","back"
"328","i have ever",27,"i have","ever","i","have"
"329","i know that",27,"i know","that","i","know"
"330","in a few",27,"in a","few","in","a"
"331","in the end",27,"in the","end","in","the"
"332","need to get",27,"need to","get","need","to"
"333","please follow me",27,"please follow","me","please","follow"
"334","that it was",27,"that it","was","that","it"
"335","the same thing",27,"the same","thing","the","same"
"336","was in the",27,"was in","the","was","in"
"337","we did not",27,"we did","not","we","did"
"338","you know that",27,"you know","that","you","know"
"339","a great weekend",26,"a great","weekend","a","great"
"340","and i can",26,"and i","can","and","i"
"341","and i love",26,"and i","love","and","i"
"342","are in the",26,"are in","the","are","in"
"343","because of the",26,"because of","the","because","of"
"344","do not be",26,"do not","be","do","not"
"345","has to be",26,"has to","be","has","to"
"346","he was a",26,"he was","a","he","was"
"347","hope you are",26,"hope you","are","hope","you"
"348","hope you have",26,"hope you","have","hope","you"
"349","i am the",26,"i am","the","i","am"
"350","i can do",26,"i can","do","i","can"
"351","i dont think",26,"i dont","think","i","dont"
"352","i thought i",26,"i thought","i","i","thought"
"353","i thought it",26,"i thought","it","i","thought"
"354","if i can",26,"if i","can","if","i"
"355","if you can",26,"if you","can","if","you"
"356","in the last",26,"in the","last","in","the"
"357","is on the",26,"is on","the","is","on"
"358","it has been",26,"it has","been","it","has"
"359","it is all",26,"it is","all","it","is"
"360","me and i",26,"me and","i","me","and"
"361","not know what",26,"not know","what","not","know"
"362","of the week",26,"of the","week","of","the"
"363","on my way",26,"on my","way","on","my"
"364","one of our",26,"one of","our","one","of"
"365","thank you to",26,"thank you","to","thank","you"
"366","that we are",26,"that we","are","that","we"
"367","the back of",26,"the back","of","the","back"
"368","the time to",26,"the time","to","the","time"
"369","to be able",26,"to be","able","to","be"
"370","to see what",26,"to see","what","to","see"
"371","we had a",26,"we had","a","we","had"
"372","will be in",26,"will be","in","will","be"
"373","a chance to",25,"a chance","to","a","chance"
"374","all of you",25,"all of","you","all","of"
"375","and i think",25,"and i","think","and","i"
"376","but i think",25,"but i","think","but","i"
"377","but there is",25,"but there","is","but","there"
"378","do not worry",25,"do not","worry","do","not"
"379","happy new year",25,"happy new","year","happy","new"
"380","have to go",25,"have to","go","have","to"
"381","i am having",25,"i am","having","i","am"
"382","i am trying",25,"i am","trying","i","am"
"383","know what i",25,"know what","i","know","what"
"384","need to do",25,"need to","do","need","to"
"385","supposed to be",25,"supposed to","be","supposed","to"
"386","that is how",25,"that is","how","that","is"
"387","think i am",25,"think i","am","think","i"
"388","went to the",25,"went to","the","went","to"
"389","what is up",25,"what is","up","what","is"
"390","what it is",25,"what it","is","what","it"
"391","will be on",25,"will be","on","will","be"
"392","you can do",25,"you can","do","you","can"
"393","a number of",24,"a number","of","a","number"
"394","a variety of",24,"a variety","of","a","variety"
"395","and do not",24,"and do","not","and","do"
"396","but i can",24,"but i","can","but","i"
"397","by the time",24,"by the","time","by","the"
"398","do not even",24,"do not","even","do","not"
"399","do not you",24,"do not","you","do","not"
"400","for all the",24,"for all","the","for","all"
"401","going to get",24,"going to","get","going","to"
"402","has been a",24,"has been","a","has","been"
"403","i can get",24,"i can","get","i","can"
"404","i had no",24,"i had","no","i","had"
"405","i know it",24,"i know","it","i","know"
"406","i love it",24,"i love","it","i","love"
"407","i love that",24,"i love","that","i","love"
"408","i think the",24,"i think","the","i","think"
"409","in my head",24,"in my","head","in","my"
"410","is all about",24,"is all","about","is","all"
"411","it was so",24,"it was","so","it","was"
"412","of the best",24,"of the","best","of","the"
"413","seems to be",24,"seems to","be","seems","to"
"414","the name of",24,"the name","of","the","name"
"415","the only thing",24,"the only","thing","the","only"
"416","used to be",24,"used to","be","used","to"
"417","wait for the",24,"wait for","the","wait","for"
"418","want to see",24,"want to","see","want","to"
"419","you are the",24,"you are","the","you","are"
"420","you know i",24,"you know","i","you","know"
"421","all over the",23,"all over","the","all","over"
"422","am not sure",23,"am not","sure","am","not"
"423","by the way",23,"by the","way","by","the"
"424","come up with",23,"come up","with","come","up"
"425","do you know",23,"do you","know","do","you"
"426","get out of",23,"get out","of","get","out"
"427","going to do",23,"going to","do","going","to"
"428","have been a",23,"have been","a","have","been"
"429","i am at",23,"i am","at","i","am"
"430","i am sorry",23,"i am","sorry","i","am"
"431","i hate when",23,"i hate","when","i","hate"
"432","i love your",23,"i love","your","i","love"
"433","in the s",23,"in the","s","in","the"
"434","is going on",23,"is going","on","is","going"
"435","is the most",23,"is the","most","is","the"
"436","it can be",23,"it can","be","it","can"
"437","it looks like",23,"it looks","like","it","looks"
"438","needs to be",23,"needs to","be","needs","to"
"439","sounds like a",23,"sounds like","a","sounds","like"
"440","that i had",23,"that i","had","that","i"
"441","the last time",23,"the last","time","the","last"
"442","this is my",23,"this is","my","this","is"
"443","to see if",23,"to see","if","to","see"
"444","want to go",23,"want to","go","want","to"
"445","we are in",23,"we are","in","we","are"
"446","what kind of",23,"what kind","of","what","kind"
"447","when he was",23,"when he","was","when","he"
"448","will be the",23,"will be","the","will","be"
"449","would not be",23,"would not","be","would","not"
"450","you are doing",23,"you are","doing","you","are"
"451","you have been",23,"you have","been","you","have"
"452","you would like",23,"you would","like","you","would"
"453","according to the",22,"according to","the","according","to"
"454","and all the",22,"and all","the","and","all"
"455","and i just",22,"and i","just","and","i"
"456","check out the",22,"check out","the","check","out"
"457","did not get",22,"did not","get","did","not"
"458","does not mean",22,"does not","mean","does","not"
"459","for a few",22,"for a","few","for","a"
"460","for some reason",22,"for some","reason","for","some"
"461","for the next",22,"for the","next","for","the"
"462","going to have",22,"going to","have","going","to"
"463","i dont have",22,"i dont","have","i","dont"
"464","i should have",22,"i should","have","i","should"
"465","im going to",22,"im going","to","im","going"
"466","is that the",22,"is that","the","is","that"
"467","it but i",22,"it but","i","it","but"
"468","make sure you",22,"make sure","you","make","sure"
"469","middle of the",22,"middle of","the","middle","of"
"470","no matter how",22,"no matter","how","no","matter"
"471","shout out to",22,"shout out","to","shout","out"
"472","so i have",22,"so i","have","so","i"
"473","spread the word",22,"spread the","word","spread","the"
"474","that was a",22,"that was","a","that","was"
"475","the best of",22,"the best","of","the","best"
"476","the bottom of",22,"the bottom","of","the","bottom"
"477","the other side",22,"the other","side","the","other"
"478","to all of",22,"to all","of","to","all"
"479","to do a",22,"to do","a","to","do"
"480","to get my",22,"to get","my","to","get"
"481","to listen to",22,"to listen","to","to","listen"
"482","to me and",22,"to me","and","to","me"
"483","up to the",22,"up to","the","up","to"
"484","up with the",22,"up with","the","up","with"
"485","was not a",22,"was not","a","was","not"
"486","was one of",22,"was one","of","was","one"
"487","we want to",22,"we want","to","we","want"
"488","who do not",22,"who do","not","who","do"
"489","would have been",22,"would have","been","would","have"
"490","you are so",22,"you are","so","you","are"
"491","you know it",22,"you know","it","you","know"
"492","you should be",22,"you should","be","you","should"
"493","a little more",21,"a little","more","a","little"
"494","and i do",21,"and i","do","and","i"
"495","at a time",21,"at a","time","at","a"
"496","away from the",21,"away from","the","away","from"
"497","be a good",21,"be a","good","be","a"
"498","did not even",21,"did not","even","did","not"
"499","did not want",21,"did not","want","did","not"
"500","dont want to",21,"dont want","to","dont","want"
"501","front of the",21,"front of","the","front","of"
"502","happy birthday to",21,"happy birthday","to","happy","birthday"
"503","he does not",21,"he does","not","he","does"
"504","hope to see",21,"hope to","see","hope","to"
"505","how do you",21,"how do","you","how","do"
"506","i have the",21,"i have","the","i","have"
"507","i like the",21,"i like","the","i","like"
"508","in the house",21,"in the","house","in","the"
"509","is like a",21,"is like","a","is","like"
"510","is the only",21,"is the","only","is","the"
"511","it to the",21,"it to","the","it","to"
"512","know i am",21,"know i","am","know","i"
"513","know it is",21,"know it","is","know","it"
"514","last night i",21,"last night","i","last","night"
"515","more and more",21,"more and","more","more","and"
"516","more than a",21,"more than","a","more","than"
"517","not know how",21,"not know","how","not","know"
"518","out to be",21,"out to","be","out","to"
"519","so much fun",21,"so much","fun","so","much"
"520","so you can",21,"so you","can","so","you"
"521","some of them",21,"some of","them","some","of"
"522","that you will",21,"that you","will","that","you"
"523","the other hand",21,"the other","hand","the","other"
"524","the top of",21,"the top","of","the","top"
"525","the use of",21,"the use","of","the","use"
"526","to all the",21,"to all","the","to","all"
"527","to do the",21,"to do","the","to","do"
"528","to work on",21,"to work","on","to","work"
"529","to work with",21,"to work","with","to","work"
"530","when you have",21,"when you","have","when","you"
"531","you are welcome",21,"you are","welcome","you","are"
"532","a few weeks",20,"a few","weeks","a","few"
"533","a picture of",20,"a picture","of","a","picture"
"534","all of us",20,"all of","us","all","of"
"535","am trying to",20,"am trying","to","am","trying"
"536","had no idea",20,"had no","idea","had","no"
"537","have you ever",20,"have you","ever","have","you"
"538","i am an",20,"i am","an","i","am"
"539","i am doing",20,"i am","doing","i","am"
"540","i am done",20,"i am","done","i","am"
"541","i have made",20,"i have","made","i","have"
"542","i hope to",20,"i hope","to","i","hope"
"543","i love this",20,"i love","this","i","love"
"544","i was just",20,"i was","just","i","was"
"545","in new york",20,"in new","york","in","new"
"546","in the process",20,"in the","process","in","the"
"547","is a lot",20,"is a","lot","is","a"
"548","is better than",20,"is better","than","is","better"
"549","is gonna be",20,"is gonna","be","is","gonna"
"550","it is going",20,"it is","going","it","is"
"551","it is my",20,"it is","my","it","is"
"552","it should be",20,"it should","be","it","should"
"553","like i am",20,"like i","am","like","i"
"554","of course i",20,"of course","i","of","course"
"555","of the time",20,"of the","time","of","the"
"556","out of my",20,"out of","my","out","of"
"557","that they are",20,"that they","are","that","they"
"558","that you have",20,"that you","have","that","you"
"559","the beginning of",20,"the beginning","of","the","beginning"
"560","the next day",20,"the next","day","the","next"
"561","the number of",20,"the number","of","the","number"
"562","the only one",20,"the only","one","the","only"
"563","the process of",20,"the process","of","the","process"
"564","to keep the",20,"to keep","the","to","keep"
"565","want to know",20,"want to","know","want","to"
"566","we are going",20,"we are","going","we","are"
"567","we can not",20,"we can","not","we","can"
"568","we will have",20,"we will","have","we","will"
"569","we will see",20,"we will","see","we","will"
"570","will have a",20,"will have","a","will","have"
"571","a bit more",19,"a bit","more","a","bit"
"572","a few of",19,"a few","of","a","few"
"573","a few years",19,"a few","years","a","few"
"574","a great time",19,"a great","time","a","great"
"575","a lot more",19,"a lot","more","a","lot"
"576","and for the",19,"and for","the","and","for"
"577","and i would",19,"and i","would","and","i"
"578","are on the",19,"are on","the","are","on"
"579","but that is",19,"but that","is","but","that"
"580","can not be",19,"can not","be","can","not"
"581","get rid of",19,"get rid","of","get","rid"
"582","give me a",19,"give me","a","give","me"
"583","i just want",19,"i just","want","i","just"
"584","i know you",19,"i know","you","i","know"
"585","i like it",19,"i like","it","i","like"
"586","i think he",19,"i think","he","i","think"
"587","i tried to",19,"i tried","to","i","tried"
"588","i would rather",19,"i would","rather","i","would"
"589","if i am",19,"if i","am","if","i"
"590","in a while",19,"in a","while","in","a"
"591","in the way",19,"in the","way","in","the"
"592","is a bit",19,"is a","bit","is","a"
"593","is just a",19,"is just","a","is","just"
"594","is that i",19,"is that","i","is","that"
"595","is your favorite",19,"is your","favorite","is","your"
"596","it could be",19,"it could","be","it","could"
"597","it is in",19,"it is","in","it","is"
"598","just a few",19,"just a","few","just","a"
"599","just want to",19,"just want","to","just","want"
"600","little bit of",19,"little bit","of","little","bit"
"601","new york city",19,"new york","city","new","york"
"602","of course the",19,"of course","the","of","course"
"603","of the same",19,"of the","same","of","the"
"604","on the phone",19,"on the","phone","on","the"
"605","on the radio",19,"on the","radio","on","the"
"606","out in the",19,"out in","the","out","in"
"607","right now i",19,"right now","i","right","now"
"608","say that i",19,"say that","i","say","that"
"609","so it is",19,"so it","is","so","it"
"610","soon as i",19,"soon as","i","soon","as"
"611","thanks for your",19,"thanks for","your","thanks","for"
"612","that he is",19,"that he","is","that","he"
"613","that is awesome",19,"that is","awesome","that","is"
"614","the best way",19,"the best","way","the","best"
"615","the time i",19,"the time","i","the","time"
"616","the way i",19,"the way","i","the","way"
"617","there is nothing",19,"there is","nothing","there","is"
"618","to deal with",19,"to deal","with","to","deal"
"619","to do so",19,"to do","so","to","do"
"620","to make sure",19,"to make","sure","to","make"
"621","was on the",19,"was on","the","was","on"
"622","whether or not",19,"whether or","not","whether","or"
"623","you can get",19,"you can","get","you","can"
"624","you have got",19,"you have","got","you","have"
"625","along the way",18,"along the","way","along","the"
"626","and this is",18,"and this","is","and","this"
"627","and you will",18,"and you","will","and","you"
"628","are you going",18,"are you","going","are","you"
"629","as part of",18,"as part","of","as","part"
"630","at the moment",18,"at the","moment","at","the"
"631","be part of",18,"be part","of","be","part"
"632","bit of a",18,"bit of","a","bit","of"
"633","but i would",18,"but i","would","but","i"
"634","but if you",18,"but if","you","but","if"
"635","can not get",18,"can not","get","can","not"
"636","can not help",18,"can not","help","can","not"
"637","day of the",18,"day of","the","day","of"
"638","does not have",18,"does not","have","does","not"
"639","due to the",18,"due to","the","due","to"
"640","even though i",18,"even though","i","even","though"
"641","every time i",18,"every time","i","every","time"
"642","for me i",18,"for me","i","for","me"
"643","for the last",18,"for the","last","for","the"
"644","for the rest",18,"for the","rest","for","the"
"645","forward to seeing",18,"forward to","seeing","forward","to"
"646","have a lot",18,"have a","lot","have","a"
"647","how much i",18,"how much","i","how","much"
"648","i get a",18,"i get","a","i","get"
"649","i got the",18,"i got","the","i","got"
"650","i had been",18,"i had","been","i","had"
"651","i have always",18,"i have","always","i","have"
"652","i love my",18,"i love","my","i","love"
"653","i think they",18,"i think","they","i","think"
"654","in a way",18,"in a","way","in","a"
"655","in your life",18,"in your","life","in","your"
"656","is a little",18,"is a","little","is","a"
"657","it is still",18,"it is","still","it","is"
"658","know you are",18,"know you","are","know","you"
"659","many of the",18,"many of","the","many","of"
"660","me and my",18,"me and","my","me","and"
"661","me i am",18,"me i","am","me","i"
"662","me it is",18,"me it","is","me","it"
"663","my way to",18,"my way","to","my","way"
"664","now i have",18,"now i","have","now","i"
"665","of the new",18,"of the","new","of","the"
"666","people in the",18,"people in","the","people","in"
"667","see you there",18,"see you","there","see","you"
"668","she does not",18,"she does","not","she","does"
"669","should not be",18,"should not","be","should","not"
"670","that does not",18,"that does","not","that","does"
"671","that i can",18,"that i","can","that","i"
"672","that i could",18,"that i","could","that","i"
"673","that i will",18,"that i","will","that","i"
"674","that we have",18,"that we","have","that","we"
"675","the ability to",18,"the ability","to","the","ability"
"676","the course of",18,"the course","of","the","course"
