"","word","freq","first_Nmin1","last","first","first2","second","third"
"154","for the most part",11,"for the most","part","for","for the","the","most"
"155","going to have to",11,"going to have","to","going","going to","to","have"
"156","i am a little",11,"i am a","little","i","i am","am","a"
"157","i am about to",11,"i am about","to","i","i am","am","about"
"158","i am ready to",11,"i am ready","to","i","i am","am","ready"
"159","i am so excited",11,"i am so","excited","i","i am","am","so"
"160","i am sure you",11,"i am sure","you","i","i am","am","sure"
"161","i did not get",11,"i did not","get","i","i did","did","not"
"162","i did not know",11,"i did not","know","i","i did","did","not"
"163","i wish i had",11,"i wish i","had","i","i wish","wish","i"
"164","if you would like",11,"if you would","like","if","if you","you","would"
"165","in a way that",11,"in a way","that","in","in a","a","way"
"166","is one of my",11,"is one of","my","is","is one","one","of"
"167","thanks for the ff",11,"thanks for the","ff","thanks","thanks for","for","the"
"168","that is a good",11,"that is a","good","that","that is","is","a"
"169","the beginning of the",11,"the beginning of","the","the","the beginning","beginning","of"
"170","the fact that the",11,"the fact that","the","the","the fact","fact","that"
"171","they are going to",11,"they are going","to","they","they are","are","going"
"172","to be in the",11,"to be in","the","to","to be","be","in"
"173","to be part of",11,"to be part","of","to","to be","be","part"
"174","who is going to",11,"who is going","to","who","who is","is","going"
"175","would love to see",11,"would love to","see","would","would love","love","to"
"176","a big fan of",10,"a big fan","of","a","a big","big","fan"
"177","a few weeks ago",10,"a few weeks","ago","a","a few","few","weeks"
"178","and it is a",10,"and it is","a","and","and it","it","is"
"179","at the bottom of",10,"at the bottom","of","at","at the","the","bottom"
"180","because i do not",10,"because i do","not","because","because i","i","do"
"181","but it is a",10,"but it is","a","but","but it","it","is"
"182","can not believe i",10,"can not believe","i","can","can not","not","believe"
"183","can not wait till",10,"can not wait","till","can","can not","not","wait"
"184","do not forget to",10,"do not forget","to","do","do not","not","forget"
"185","for those of you",10,"for those of","you","for","for those","those","of"
"186","happy birthday to my",10,"happy birthday to","my","happy","happy birthday","birthday","to"
"187","i am not the",10,"i am not","the","i","i am","am","not"
"188","i am off to",10,"i am off","to","i","i am","am","off"
"189","i am so glad",10,"i am so","glad","i","i am","am","so"
"190","i can not even",10,"i can not","even","i","i can","can","not"
"191","i do not even",10,"i do not","even","i","i do","do","not"
"192","i do not need",10,"i do not","need","i","i do","do","not"
"193","i feel like a",10,"i feel like","a","i","i feel","feel","like"
"194","i have decided to",10,"i have decided","to","i","i have","have","decided"
"195","i really do not",10,"i really do","not","i","i really","really","do"
"196","i think i have",10,"i think i","have","i","i think","think","i"
"197","i thought i was",10,"i thought i","was","i","i thought","thought","i"
"198","i will be in",10,"i will be","in","i","i will","will","be"
"199","i will be there",10,"i will be","there","i","i will","will","be"
"200","in the process of",10,"in the process","of","in","in the","the","process"
"201","may or may not",10,"may or may","not","may","may or","or","may"
"202","not wait for the",10,"not wait for","the","not","not wait","wait","for"
"203","not wait to get",10,"not wait to","get","not","not wait","wait","to"
"204","nothing to do with",10,"nothing to do","with","nothing","nothing to","to","do"
"205","of the united states",10,"of the united","states","of","of the","the","united"
"206","so i decided to",10,"so i decided","to","so","so i","i","decided"
"207","so i do not",10,"so i do","not","so","so i","i","do"
"208","so much for the",10,"so much for","the","so","so much","much","for"
"209","thanks to everyone who",10,"thanks to everyone","who","thanks","thanks to","to","everyone"
"210","the back of the",10,"the back of","the","the","the back","back","of"
"211","the name of the",10,"the name of","the","the","the name","name","of"
"212","the other side of",10,"the other side","of","the","the other","other","side"
"213","there are so many",10,"there are so","many","there","there are","are","so"
"214","to get rid of",10,"to get rid","of","to","to get","get","rid"
"215","to get to the",10,"to get to","the","to","to get","get","to"
"216","will let you know",10,"will let you","know","will","will let","let","you"
"217","would love to hear",10,"would love to","hear","would","would love","love","to"
"218","a friend of mine",9,"a friend of","mine","a","a friend","friend","of"
"219","am going to do",9,"am going to","do","am","am going","going","to"
"220","and i wanted to",9,"and i wanted","to","and","and i","i","wanted"
"221","and the rest of",9,"and the rest","of","and","and the","the","rest"
"222","as long as you",9,"as long as","you","as","as long","long","as"
"223","as part of the",9,"as part of","the","as","as part","part","of"
"224","as you can see",9,"as you can","see","as","as you","you","can"
"225","by the end of",9,"by the end","of","by","by the","the","end"
"226","can not help but",9,"can not help","but","can","can not","not","help"
"227","did not have to",9,"did not have","to","did","did not","not","have"
"228","does not want to",9,"does not want","to","does","does not","not","want"
"229","from time to time",9,"from time to","time","from","from time","time","to"
"230","had a great time",9,"had a great","time","had","had a","a","great"
"231","hope you had a",9,"hope you had","a","hope","hope you","you","had"
"232","i am having a",9,"i am having","a","i","i am","am","having"
"233","i am not gonna",9,"i am not","gonna","i","i am","am","not"
"234","i did not think",9,"i did not","think","i","i did","did","not"
"235","i do not feel",9,"i do not","feel","i","i do","do","not"
"236","i hate it when",9,"i hate it","when","i","i hate","hate","it"
"237","i have never been",9,"i have never","been","i","i have","have","never"
"238","i hope you have",9,"i hope you","have","i","i hope","hope","you"
"239","i know i am",9,"i know i","am","i","i know","know","i"
"240","i look forward to",9,"i look forward","to","i","i look","look","forward"
"241","i need to get",9,"i need to","get","i","i need","need","to"
"242","i think he is",9,"i think he","is","i","i think","think","he"
"243","i think this is",9,"i think this","is","i","i think","think","this"
"244","i will be back",9,"i will be","back","i","i will","will","be"
"245","i will not be",9,"i will not","be","i","i will","will","not"
"246","i would have to",9,"i would have","to","i","i would","would","have"
"247","if you have any",9,"if you have","any","if","if you","you","have"
"248","in and out of",9,"in and out","of","in","in and","and","out"
"249","in the form of",9,"in the form","of","in","in the","the","form"
"250","it is a bit",9,"it is a","bit","it","it is","is","a"
"251","it is a great",9,"it is a","great","it","it is","is","a"
"252","it is been a",9,"it is been","a","it","it is","is","been"
"253","it will be a",9,"it will be","a","it","it will","will","be"
"254","not know how to",9,"not know how","to","not","not know","know","how"
"255","not the only one",9,"not the only","one","not","not the","the","only"
"256","on the back of",9,"on the back","of","on","on the","the","back"
"257","over the course of",9,"over the course","of","over","over the","the","course"
"258","seems to be a",9,"seems to be","a","seems","seems to","to","be"
"259","should be able to",9,"should be able","to","should","should be","be","able"
"260","so i had to",9,"so i had","to","so","so i","i","had"
"261","the only thing i",9,"the only thing","i","the","the only","only","thing"
"262","this is going to",9,"this is going","to","this","this is","is","going"
"263","this is not a",9,"this is not","a","this","this is","is","not"
"264","this time of year",9,"this time of","year","this","this time","time","of"
"265","to all of you",9,"to all of","you","to","to all","all","of"
"266","to be one of",9,"to be one","of","to","to be","be","one"
"267","to come up with",9,"to come up","with","to","to come","come","up"
"268","to do with the",9,"to do with","the","to","to do","do","with"
"269","to the end of",9,"to the end","of","to","to the","the","end"
"270","to the point of",9,"to the point","of","to","to the","the","point"
"271","wait to see you",9,"wait to see","you","wait","wait to","to","see"
"272","we are looking for",9,"we are looking","for","we","we are","are","looking"
"273","we went to the",9,"we went to","the","we","we went","went","to"
"274","when i was a",9,"when i was","a","when","when i","i","was"
"275","you are interested in",9,"you are interested","in","you","you are","are","interested"
"276","you do not know",9,"you do not","know","you","you do","do","not"
"277","you do not want",9,"you do not","want","you","you do","do","not"
"278","a few of my",8,"a few of","my","a","a few","few","of"
"279","a few years ago",8,"a few years","ago","a","a few","few","years"
"280","a good place to",8,"a good place","to","a","a good","good","place"
"281","a long time ago",8,"a long time","ago","a","a long","long","time"
"282","a lot of the",8,"a lot of","the","a","a lot","lot","of"
"283","and i am not",8,"and i am","not","and","and i","i","am"
"284","and it is not",8,"and it is","not","and","and it","it","is"
"285","but in the end",8,"but in the","end","but","but in","in","the"
"286","do not feel like",8,"do not feel","like","do","do not","not","feel"
"287","do not give a",8,"do not give","a","do","do not","not","give"
"288","do not know why",8,"do not know","why","do","do not","not","know"
"289","do you have a",8,"do you have","a","do","do you","you","have"
"290","get out of the",8,"get out of","the","get","get out","out","of"
"291","have been trying to",8,"have been trying","to","have","have been","been","trying"
"292","i am listening to",8,"i am listening","to","i","i am","am","listening"
"293","i am looking forward",8,"i am looking","forward","i","i am","am","looking"
"294","i am so happy",8,"i am so","happy","i","i am","am","so"
"295","i can not find",8,"i can not","find","i","i can","can","not"
"296","i did not want",8,"i did not","want","i","i did","did","not"
"297","i do not remember",8,"i do not","remember","i","i do","do","not"
"298","i have been trying",8,"i have been","trying","i","i have","have","been"
"299","i have got to",8,"i have got","to","i","i have","have","got"
"300","i have to go",8,"i have to","go","i","i have","have","to"
"301","i just can not",8,"i just can","not","i","i just","just","can"
"302","i know that i",8,"i know that","i","i","i know","know","that"
"303","i need to do",8,"i need to","do","i","i need","need","to"
"304","i think i can",8,"i think i","can","i","i think","think","i"
"305","i thought i would",8,"i thought i","would","i","i thought","thought","i"
"306","i want you to",8,"i want you","to","i","i want","want","you"
"307","i went to the",8,"i went to","the","i","i went","went","to"
"308","i would not be",8,"i would not","be","i","i would","would","not"
"309","if i do not",8,"if i do","not","if","if i","i","do"
"310","in the way of",8,"in the way","of","in","in the","the","way"
"311","is not going to",8,"is not going","to","is","is not","not","going"
"312","is not the same",8,"is not the","same","is","is not","not","the"
"313","is the best way",8,"is the best","way","is","is the","the","best"
"314","it is easy to",8,"it is easy","to","it","it is","is","easy"
"315","it is just a",8,"it is just","a","it","it is","is","just"
"316","keep up the good",8,"keep up the","good","keep","keep up","up","the"
"317","know what to do",8,"know what to","do","know","know what","what","to"
"318","let us know what",8,"let us know","what","let","let us","us","know"
"319","me know if you",8,"me know if","you","me","me know","know","if"
"320","middle of the night",8,"middle of the","night","middle","middle of","of","the"
"321","not going to be",8,"not going to","be","not","not going","going","to"
"322","other side of the",8,"other side of","the","other","other side","side","of"
"323","please let me know",8,"please let me","know","please","please let","let","me"
"324","thank you to all",8,"thank you to","all","thank","thank you","you","to"
"325","thanks for the mention",8,"thanks for the","mention","thanks","thanks for","for","the"
"326","thanks for the retweet",8,"thanks for the","retweet","thanks","thanks for","for","the"
"327","that i did not",8,"that i did","not","that","that i","i","did"
"328","the course of the",8,"the course of","the","the","the course","course","of"
"329","the end of this",8,"the end of","this","the","the end","end","of"
"330","the next day i",8,"the next day","i","the","the next","next","day"
"331","the rest of your",8,"the rest of","your","the","the rest","rest","of"
"332","the side of the",8,"the side of","the","the","the side","side","of"
"333","there are lots of",8,"there are lots","of","there","there are","are","lots"
"334","there is a lot",8,"there is a","lot","there","there is","is","a"
"335","those of you who",8,"those of you","who","those","those of","of","you"
"336","to go back to",8,"to go back","to","to","to go","go","back"
"337","to hear from you",8,"to hear from","you","to","to hear","hear","from"
"338","today is the day",8,"today is the","day","today","today is","is","the"
"339","trying to figure out",8,"trying to figure","out","trying","trying to","to","figure"
"340","turned out to be",8,"turned out to","be","turned","turned out","out","to"
"341","want to be a",8,"want to be","a","want","want to","to","be"
"342","we do not know",8,"we do not","know","we","we do","do","not"
"343","we look forward to",8,"we look forward","to","we","we look","look","forward"
"344","we would love to",8,"we would love","to","we","we would","would","love"
"345","what are you doing",8,"what are you","doing","what","what are","are","you"
"346","what to do with",8,"what to do","with","what","what to","to","do"
"347","when i was in",8,"when i was","in","when","when i","i","was"
"348","will be on the",8,"will be on","the","will","will be","be","on"
"349","will not be able",8,"will not be","able","will","will not","not","be"
"350","wish i could be",8,"wish i could","be","wish","wish i","i","could"
"351","would love to have",8,"would love to","have","would","would love","love","to"
"352","you do not like",8,"you do not","like","you","you do","do","not"
"353","you have any questions",8,"you have any","questions","you","you have","have","any"
"354","you have to do",8,"you have to","do","you","you have","have","to"
"355","you know you are",8,"you know you","are","you","you know","know","you"
"356","you need to be",8,"you need to","be","you","you need","need","to"
"357","you will have to",8,"you will have","to","you","you will","will","have"
"358","a couple of weeks",7,"a couple of","weeks","a","a couple","couple","of"
"359","a good way to",7,"a good way","to","a","a good","good","way"
"360","a waste of time",7,"a waste of","time","a","a waste","waste","of"
"361","all over the place",7,"all over the","place","all","all over","over","the"
"362","all the way to",7,"all the way","to","all","all the","the","way"
"363","am looking forward to",7,"am looking forward","to","am","am looking","looking","forward"
"364","am sure you will",7,"am sure you","will","am","am sure","sure","you"
"365","and i am so",7,"and i am","so","and","and i","i","am"
"366","and i have to",7,"and i have","to","and","and i","i","have"
"367","and i will be",7,"and i will","be","and","and i","i","will"
"368","and of course the",7,"and of course","the","and","and of","of","course"
"369","and that is the",7,"and that is","the","and","and that","that","is"
"370","as one of the",7,"as one of","the","as","as one","one","of"
"371","at the top of",7,"at the top","of","at","at the","the","top"
"372","but i could not",7,"but i could","not","but","but i","i","could"
"373","can i get a",7,"can i get","a","can","can i","i","get"
"374","do not believe in",7,"do not believe","in","do","do not","not","believe"
"375","do not even know",7,"do not even","know","do","do not","not","even"
"376","do not worry i",7,"do not worry","i","do","do not","not","worry"
"377","do not you think",7,"do not you","think","do","do not","not","you"
"378","every once in a",7,"every once in","a","every","every once","once","in"
"379","figure out how to",7,"figure out how","to","figure","figure out","out","how"
"380","for some reason i",7,"for some reason","i","for","for some","some","reason"
"381","good to see you",7,"good to see","you","good","good to","to","see"
"382","had a great day",7,"had a great","day","had","had a","a","great"
"383","have a great time",7,"have a great","time","have","have a","a","great"
"384","have to go to",7,"have to go","to","have","have to","to","go"
"385","i am a big",7,"i am a","big","i","i am","am","a"
"386","i am in a",7,"i am in","a","i","i am","am","in"
"387","i am on my",7,"i am on","my","i","i am","am","on"
"388","i am talking about",7,"i am talking","about","i","i am","am","talking"
"389","i can get a",7,"i can get","a","i","i can","can","get"
"390","i can tell you",7,"i can tell","you","i","i can","can","tell"
"391","i do not get",7,"i do not","get","i","i do","do","not"
"392","i do not understand",7,"i do not","understand","i","i do","do","not"
"393","i do not wanna",7,"i do not","wanna","i","i do","do","not"
"394","i guess i am",7,"i guess i","am","i","i guess","guess","i"
"395","i guess it is",7,"i guess it","is","i","i guess","guess","it"
"396","i hate when people",7,"i hate when","people","i","i hate","hate","when"
"397","i have got a",7,"i have got","a","i","i have","have","got"
"398","i have had a",7,"i have had","a","i","i have","have","had"
"399","i hope you are",7,"i hope you","are","i","i hope","hope","you"
"400","i just have to",7,"i just have","to","i","i just","just","have"
"401","i knew it was",7,"i knew it","was","i","i knew","knew","it"
"402","i love you so",7,"i love you","so","i","i love","love","you"
"403","i really wanted to",7,"i really wanted","to","i","i really","really","wanted"
"404","i think i will",7,"i think i","will","i","i think","think","i"
"405","i want to do",7,"i want to","do","i","i want","want","to"
"406","i was on the",7,"i was on","the","i","i was","was","on"
"407","i will be doing",7,"i will be","doing","i","i will","will","be"
"408","i will be on",7,"i will be","on","i","i will","will","be"
"409","i will give you",7,"i will give","you","i","i will","will","give"
"410","i would rather be",7,"i would rather","be","i","i would","would","rather"
"411","if i did not",7,"if i did","not","if","if i","i","did"
"412","if you are in",7,"if you are","in","if","if you","you","are"
"413","if you can not",7,"if you can","not","if","if you","you","can"
"414","in front of me",7,"in front of","me","in","in front","front","of"
"415","in the case of",7,"in the case","of","in","in the","the","case"
"416","in the midst of",7,"in the midst","of","in","in the","the","midst"
"417","in the name of",7,"in the name","of","in","in the","the","name"
"418","is supposed to be",7,"is supposed to","be","is","is supposed","supposed","to"
"419","is what i am",7,"is what i","am","is","is what","what","i"
"420","it does not matter",7,"it does not","matter","it","it does","does","not"
"421","it is good to",7,"it is good","to","it","it is","is","good"
"422","it is like a",7,"it is like","a","it","it is","is","like"
"423","it is not that",7,"it is not","that","it","it is","is","not"
"424","it is not the",7,"it is not","the","it","it is","is","not"
"425","it is one of",7,"it is one","of","it","it is","is","one"
"426","know what i mean",7,"know what i","mean","know","know what","what","i"
"427","let me know when",7,"let me know","when","let","let me","me","know"
"428","let us know if",7,"let us know","if","let","let us","us","know"
"429","looking forward to it",7,"looking forward to","it","looking","looking forward","forward","to"
"430","makes me want to",7,"makes me want","to","makes","makes me","me","want"
"431","mothers day to all",7,"mothers day to","all","mothers","mothers day","day","to"
"432","nice to meet you",7,"nice to meet","you","nice","nice to","to","meet"
"433","not have to be",7,"not have to","be","not","not have","have","to"
"434","now i have to",7,"now i have","to","now","now i","i","have"
"435","on one of the",7,"on one of","the","on","on one","one","of"
"436","once in a while",7,"once in a","while","once","once in","in","a"
"437","one of these days",7,"one of these","days","one","one of","of","these"
"438","over and over again",7,"over and over","again","over","over and","and","over"
"439","people who do not",7,"people who do","not","people","people who","who","do"
"440","see you at the",7,"see you at","the","see","see you","you","at"
"441","so i am going",7,"so i am","going","so","so i","i","am"
"442","thank you for all",7,"thank you for","all","thank","thank you","you","for"
"443","thank you to the",7,"thank you to","the","thank","thank you","you","to"
"444","thanks for the shoutout",7,"thanks for the","shoutout","thanks","thanks for","for","the"
"445","that awkward moment when",7,"that awkward moment","when","that","that awkward","awkward","moment"
"446","the edge of the",7,"the edge of","the","the","the edge","edge","of"
"447","the heart of the",7,"the heart of","the","the","the heart","heart","of"
"448","the last time i",7,"the last time","i","the","the last","last","time"
"449","the s and s",7,"the s and","s","the","the s","s","and"
"450","to be the best",7,"to be the","best","to","to be","be","the"
"451","to get into the",7,"to get into","the","to","to get","get","into"
"452","to give it a",7,"to give it","a","to","to give","give","it"
"453","to go to a",7,"to go to","a","to","to go","go","to"
"454","to one of the",7,"to one of","the","to","to one","one","of"
"455","tweet tweet tweet tweet",7,"tweet tweet tweet","tweet","tweet","tweet tweet","tweet","tweet"
"456","up the good work",7,"up the good","work","up","up the","the","good"
"457","wait to see what",7,"wait to see","what","wait","wait to","to","see"
"458","we are in the",7,"we are in","the","we","we are","are","in"
"459","what it is like",7,"what it is","like","what","what it","it","is"
"460","would like to see",7,"would like to","see","would","would like","like","to"
"461","you are on the",7,"you are on","the","you","you are","are","on"
"462","you can do it",7,"you can do","it","you","you can","can","do"
"463","you had a great",7,"you had a","great","you","you had","had","a"
"464","you have got to",7,"you have got","to","you","you have","have","got"
"465","you have to be",7,"you have to","be","you","you have","have","to"
"466","you know it is",7,"you know it","is","you","you know","know","it"
"467","you want to be",7,"you want to","be","you","you want","want","to"
"468","a chance to win",6,"a chance to","win","a","a chance","chance","to"
"469","a few days ago",6,"a few days","ago","a","a few","few","days"
"470","a great way to",6,"a great way","to","a","a great","great","way"
"471","a lot of fun",6,"a lot of","fun","a","a lot","lot","of"
"472","a member of the",6,"a member of","the","a","a member","member","of"
"473","a part of the",6,"a part of","the","a","a part","part","of"
"474","able to make it",6,"able to make","it","able","able to","to","make"
"475","all of a sudden",6,"all of a","sudden","all","all of","of","a"
"476","am a big fan",6,"am a big","fan","am","am a","a","big"
"477","am going to be",6,"am going to","be","am","am going","going","to"
"478","am not the only",6,"am not the","only","am","am not","not","the"
"479","and i have been",6,"and i have","been","and","and i","i","have"
"480","and i love you",6,"and i love","you","and","and i","i","love"
"481","and now i am",6,"and now i","am","and","and now","now","i"
"482","and some of the",6,"and some of","the","and","and some","some","of"
"483","are not going to",6,"are not going","to","are","are not","not","going"
"484","are you ready for",6,"are you ready","for","are","are you","you","ready"
"485","as a result of",6,"as a result","of","as","as a","a","result"
"486","at a time when",6,"at a time","when","at","at a","a","time"
"487","at the time of",6,"at the time","of","at","at the","the","time"
"488","at this point i",6,"at this point","i","at","at this","this","point"
"489","be one of those",6,"be one of","those","be","be one","one","of"
