"","word","freq","first_Nmin1","last","first","first2","first3","first4","second","third","fourth","fifth"
"76","a few minutes at a time",2,"a few minutes at a","time","a","a few","a few minutes","a few minutes at","few","minutes","at","a"
"77","a few of my favorite things",2,"a few of my favorite","things","a","a few","a few of","a few of my","few","of","my","favorite"
"78","a hard knock life for us",2,"a hard knock life for","us","a","a hard","a hard knock","a hard knock life","hard","knock","life","for"
"79","a mi run with a pace",2,"a mi run with a","pace","a","a mi","a mi run","a mi run with","mi","run","with","a"
"80","a mi run with nike gps",2,"a mi run with nike","gps","a","a mi","a mi run","a mi run with","mi","run","with","nike"
"81","a natural born citizen or a",2,"a natural born citizen or","a","a","a natural","a natural born","a natural born citizen","natural","born","citizen","or"
"82","a quick trip to the grocery",2,"a quick trip to the","grocery","a","a quick","a quick trip","a quick trip to","quick","trip","to","the"
"83","a time of with nike gps",2,"a time of with nike","gps","a","a time","a time of","a time of with","time","of","with","nike"
"84","a time when he was a",2,"a time when he was","a","a","a time","a time when","a time when he","time","when","he","was"
"85","about it but few have seen",2,"about it but few have","seen","about","about it","about it but","about it but few","it","but","few","have"
"86","about minutes add the garlic and",2,"about minutes add the garlic","and","about","about minutes","about minutes add","about minutes add the","minutes","add","the","garlic"
"87","about you but i can not",2,"about you but i can","not","about","about you","about you but","about you but i","you","but","i","can"
"88","act like a lady think like",2,"act like a lady think","like","act","act like","act like a","act like a lady","like","a","lady","think"
"89","after a long day of work",2,"after a long day of","work","after","after a","after a long","after a long day","a","long","day","of"
"90","all i ever wanted was to",2,"all i ever wanted was","to","all","all i","all i ever","all i ever wanted","i","ever","wanted","was"
"91","all i have to do is",2,"all i have to do","is","all","all i","all i have","all i have to","i","have","to","do"
"92","all my imagine tweets it would",2,"all my imagine tweets it","would","all","all my","all my imagine","all my imagine tweets","my","imagine","tweets","it"
"93","all you need to do is",2,"all you need to do","is","all","all you","all you need","all you need to","you","need","to","do"
"94","alot if u dotheir in my",2,"alot if u dotheir in","my","alot","alot if","alot if u","alot if u dotheir","if","u","dotheir","in"
"95","am going to bed a happy",2,"am going to bed a","happy","am","am going","am going to","am going to bed","going","to","bed","a"
"96","am i the only one who",2,"am i the only one","who","am","am i","am i the","am i the only","i","the","only","one"
"97","an excuse to be a hoe",2,"an excuse to be a","hoe","an","an excuse","an excuse to","an excuse to be","excuse","to","be","a"
"98","an hour and a half i",2,"an hour and a half","i","an","an hour","an hour and","an hour and a","hour","and","a","half"
"99","and do not even know it",2,"and do not even know","it","and","and do","and do not","and do not even","do","not","even","know"
"100","and do not know what i",2,"and do not know what","i","and","and do","and do not","and do not know","do","not","know","what"
"101","and for the next two weeks",2,"and for the next two","weeks","and","and for","and for the","and for the next","for","the","next","two"
"102","and i am looking forward to",2,"and i am looking forward","to","and","and i","and i am","and i am looking","i","am","looking","forward"
"103","and i am not going to",2,"and i am not going","to","and","and i","and i am","and i am not","i","am","not","going"
"104","and i am so proud of",2,"and i am so proud","of","and","and i","and i am","and i am so","i","am","so","proud"
"105","and i can not help but",2,"and i can not help","but","and","and i","and i can","and i can not","i","can","not","help"
"106","and i can not wait for",2,"and i can not wait","for","and","and i","and i can","and i can not","i","can","not","wait"
"107","and i can not wait to",2,"and i can not wait","to","and","and i","and i can","and i can not","i","can","not","wait"
"108","and i do not have to",2,"and i do not have","to","and","and i","and i do","and i do not","i","do","not","have"
"109","and i have got to say",2,"and i have got to","say","and","and i","and i have","and i have got","i","have","got","to"
"110","and let me tell you i",2,"and let me tell you","i","and","and let","and let me","and let me tell","let","me","tell","you"
"111","and relaxing at the same time",2,"and relaxing at the same","time","and","and relaxing","and relaxing at","and relaxing at the","relaxing","at","the","same"
"112","and see how it compares to",2,"and see how it compares","to","and","and see","and see how","and see how it","see","how","it","compares"
"113","and there was a lot of",2,"and there was a lot","of","and","and there","and there was","and there was a","there","was","a","lot"
"114","and this is crazy but heres",2,"and this is crazy but","heres","and","and this","and this is","and this is crazy","this","is","crazy","but"
"115","and to washington dc for a",2,"and to washington dc for","a","and","and to","and to washington","and to washington dc","to","washington","dc","for"
"116","and we will get back to",2,"and we will get back","to","and","and we","and we will","and we will get","we","will","get","back"
"117","and yes there will be a",2,"and yes there will be","a","and","and yes","and yes there","and yes there will","yes","there","will","be"
"118","annoy the crap out of me",2,"annoy the crap out of","me","annoy","annoy the","annoy the crap","annoy the crap out","the","crap","out","of"
"119","are available in a variety of",2,"are available in a variety","of","are","are available","are available in","are available in a","available","in","a","variety"
"120","as it is with ghosts everyone",2,"as it is with ghosts","everyone","as","as it","as it is","as it is with","it","is","with","ghosts"
"121","as long as i can remember",2,"as long as i can","remember","as","as long","as long as","as long as i","long","as","i","can"
"122","as long as you are not",2,"as long as you are","not","as","as long","as long as","as long as you","long","as","you","are"
"123","as you can see from the",2,"as you can see from","the","as","as you","as you can","as you can see","you","can","see","from"
"124","asked me if i wanted to",2,"asked me if i wanted","to","asked","asked me","asked me if","asked me if i","me","if","i","wanted"
"125","at the bottom of the bowl",2,"at the bottom of the","bowl","at","at the","at the bottom","at the bottom of","the","bottom","of","the"
"126","at the bottom of this post",2,"at the bottom of this","post","at","at the","at the bottom","at the bottom of","the","bottom","of","this"
"127","at the end of last year",2,"at the end of last","year","at","at the","at the end","at the end of","the","end","of","last"
"128","at the end of the campaign",2,"at the end of the","campaign","at","at the","at the end","at the end of","the","end","of","the"
"129","at the end of the month",2,"at the end of the","month","at","at the","at the end","at the end of","the","end","of","the"
"130","at the end of the week",2,"at the end of the","week","at","at the","at the end","at the end of","the","end","of","the"
"131","at the time of the adoption",2,"at the time of the","adoption","at","at the","at the time","at the time of","the","time","of","the"
"132","b in dc im tryna fish",2,"b in dc im tryna","fish","b","b in","b in dc","b in dc im","in","dc","im","tryna"
"133","baby you light up my world",2,"baby you light up my","world","baby","baby you","baby you light","baby you light up","you","light","up","my"
"134","be careful what you wish for",2,"be careful what you wish","for","be","be careful","be careful what","be careful what you","careful","what","you","wish"
"135","be sure to check out the",2,"be sure to check out","the","be","be sure","be sure to","be sure to check","sure","to","check","out"
"136","because it is over smile because",2,"because it is over smile","because","because","because it","because it is","because it is over","it","is","over","smile"
"137","believe that someday he will follow",2,"believe that someday he will","follow","believe","believe that","believe that someday","believe that someday he","that","someday","he","will"
"138","believe that ye receive them and",2,"believe that ye receive them","and","believe","believe that","believe that ye","believe that ye receive","that","ye","receive","them"
"139","billions of people in the world",2,"billions of people in the","world","billions","billions of","billions of people","billions of people in","of","people","in","the"
"140","boil lower the heat and simmer",2,"boil lower the heat and","simmer","boil","boil lower","boil lower the","boil lower the heat","lower","the","heat","and"
"141","born citizen or a citizen of",2,"born citizen or a citizen","of","born","born citizen","born citizen or","born citizen or a","citizen","or","a","citizen"
"142","bring to a boil lower the",2,"bring to a boil lower","the","bring","bring to","bring to a","bring to a boil","to","a","boil","lower"
"143","but at the same time it",2,"but at the same time","it","but","but at","but at the","but at the same","at","the","same","time"
"144","but could not find a suitable",2,"but could not find a","suitable","but","but could","but could not","but could not find","could","not","find","a"
"145","but for the most part they",2,"but for the most part","they","but","but for","but for the","but for the most","for","the","most","part"
"146","but have not been able to",2,"but have not been able","to","but","but have","but have not","but have not been","have","not","been","able"
"147","but i always feel like i",2,"but i always feel like","i","but","but i","but i always","but i always feel","i","always","feel","like"
"148","but i can not help but",2,"but i can not help","but","but","but i","but i can","but i can not","i","can","not","help"
"149","but i can not wait to",2,"but i can not wait","to","but","but i","but i can","but i can not","i","can","not","wait"
"150","but i do not think i",2,"but i do not think","i","but","but i","but i do","but i do not","i","do","not","think"
"151","but it turns out to be",2,"but it turns out to","be","but","but it","but it turns","but it turns out","it","turns","out","to"
"152","by the end of this month",2,"by the end of this","month","by","by the","by the end","by the end of","the","end","of","this"
"153","call me crazy but i do",2,"call me crazy but i","do","call","call me","call me crazy","call me crazy but","me","crazy","but","i"
"154","can not believe i am saying",2,"can not believe i am","saying","can","can not","can not believe","can not believe i","not","believe","i","am"
"155","can not decide if i want",2,"can not decide if i","want","can","can not","can not decide","can not decide if","not","decide","if","i"
"156","can not wait for the game",2,"can not wait for the","game","can","can not","can not wait","can not wait for","not","wait","for","the"
"157","can not wait to get some",2,"can not wait to get","some","can","can not","can not wait","can not wait to","not","wait","to","get"
"158","can not wait to go back",2,"can not wait to go","back","can","can not","can not wait","can not wait to","not","wait","to","go"
"159","can not wait to hear from",2,"can not wait to hear","from","can","can not","can not wait","can not wait to","not","wait","to","hear"
"160","can not wait to hit the",2,"can not wait to hit","the","can","can not","can not wait","can not wait to","not","wait","to","hit"
"161","can not wait to see all",2,"can not wait to see","all","can","can not","can not wait","can not wait to","not","wait","to","see"
"162","can not wait to see em",2,"can not wait to see","em","can","can not","can not wait","can not wait to","not","wait","to","see"
"163","can not wait to see my",2,"can not wait to see","my","can","can not","can not wait","can not wait to","not","wait","to","see"
"164","can you dm me your email",2,"can you dm me your","email","can","can you","can you dm","can you dm me","you","dm","me","your"
"165","centers for disease control and prevention",2,"centers for disease control and","prevention","centers","centers for","centers for disease","centers for disease control","for","disease","control","and"
"166","citizen or a citizen of the",2,"citizen or a citizen of","the","citizen","citizen or","citizen or a","citizen or a citizen","or","a","citizen","of"
"167","click here for more information about",2,"click here for more information","about","click","click here","click here for","click here for more","here","for","more","information"
"168","come out and party with us",2,"come out and party with","us","come","come out","come out and","come out and party","out","and","party","with"
"169","could go on and on but",2,"could go on and on","but","could","could go","could go on","could go on and","go","on","and","on"
"170","cry because it is over smile",2,"cry because it is over","smile","cry","cry because","cry because it","cry because it is","because","it","is","over"
"171","dc for a concert and meetngreet",2,"dc for a concert and","meetngreet","dc","dc for","dc for a","dc for a concert","for","a","concert","and"
"172","dc im tryna fish montana max",2,"dc im tryna fish montana","max","dc","dc im","dc im tryna","dc im tryna fish","im","tryna","fish","montana"
"173","desire when ye pray believe that",2,"desire when ye pray believe","that","desire","desire when","desire when ye","desire when ye pray","when","ye","pray","believe"
"174","did not get to see the",2,"did not get to see","the","did","did not","did not get","did not get to","not","get","to","see"
"175","did not know what to do",2,"did not know what to","do","did","did not","did not know","did not know what","not","know","what","to"
"176","did not think it was possible",2,"did not think it was","possible","did","did not","did not think","did not think it","not","think","it","was"
"177","do let us know what you",2,"do let us know what","you","do","do let","do let us","do let us know","let","us","know","what"
"178","do not cry because it is",2,"do not cry because it","is","do","do not","do not cry","do not cry because","not","cry","because","it"
"179","do not get me wrong i",2,"do not get me wrong","i","do","do not","do not get","do not get me","not","get","me","wrong"
"180","do not go where the path",2,"do not go where the","path","do","do not","do not go","do not go where","not","go","where","the"
"181","do not have a lot of",2,"do not have a lot","of","do","do not","do not have","do not have a","not","have","a","lot"
"182","do not have the right to",2,"do not have the right","to","do","do not","do not have","do not have the","not","have","the","right"
"183","do not have the time to",2,"do not have the time","to","do","do not","do not have","do not have the","not","have","the","time"
"184","do not have time to get",2,"do not have time to","get","do","do not","do not have","do not have time","not","have","time","to"
"185","do not know if it is",2,"do not know if it","is","do","do not","do not know","do not know if","not","know","if","it"
"186","do not know what i am",2,"do not know what i","am","do","do not","do not know","do not know what","not","know","what","i"
"187","do not know what i would",2,"do not know what i","would","do","do not","do not know","do not know what","not","know","what","i"
"188","do not know what you are",2,"do not know what you","are","do","do not","do not know","do not know what","not","know","what","you"
"189","do not like change you are",2,"do not like change you","are","do","do not","do not like","do not like change","not","like","change","you"
"190","do not want it to end",2,"do not want it to","end","do","do not","do not want","do not want it","not","want","it","to"
"191","do not want to miss out",2,"do not want to miss","out","do","do not","do not want","do not want to","not","want","to","miss"
"192","do something you have never done",2,"do something you have never","done","do","do something","do something you","do something you have","something","you","have","never"
"193","dont know what more to say",2,"dont know what more to","say","dont","dont know","dont know what","dont know what more","know","what","more","to"
"194","e t w e e t",2,"e t w e e","t","e","e t","e t w","e t w e","t","w","e","e"
"195","each and every one of you",2,"each and every one of","you","each","each and","each and every","each and every one","and","every","one","of"
"196","envy me rate me hate me",2,"envy me rate me hate","me","envy","envy me","envy me rate","envy me rate me","me","rate","me","hate"
"197","everyone has had a great weekend",2,"everyone has had a great","weekend","everyone","everyone has","everyone has had","everyone has had a","has","had","a","great"
"198","everyone talks about it but few",2,"everyone talks about it but","few","everyone","everyone talks","everyone talks about","everyone talks about it","talks","about","it","but"
"199","except a natural born citizen or",2,"except a natural born citizen","or","except","except a","except a natural","except a natural born","a","natural","born","citizen"
"200","finished a mi run with nike",2,"finished a mi run with","nike","finished","finished a","finished a mi","finished a mi run","a","mi","run","with"
"201","follow so i can dm you",2,"follow so i can dm","you","follow","follow so","follow so i","follow so i can","so","i","can","dm"
"202","for a concert and meetngreet austintodc",2,"for a concert and meetngreet","austintodc","for","for a","for a concert","for a concert and","a","concert","and","meetngreet"
"203","for as long as i can",2,"for as long as i","can","for","for as","for as long","for as long as","as","long","as","i"
"204","for following the hilltop on twitter",2,"for following the hilltop on","twitter","for","for following","for following the","for following the hilltop","following","the","hilltop","on"
"205","for lack of a better word",2,"for lack of a better","word","for","for lack","for lack of","for lack of a","lack","of","a","better"
"206","for the first time in days",2,"for the first time in","days","for","for the","for the first","for the first time","the","first","time","in"
"207","for the first time in months",2,"for the first time in","months","for","for the","for the first","for the first time","the","first","time","in"
"208","for the first time in the",2,"for the first time in","the","for","for the","for the first","for the first time","the","first","time","in"
"209","for the rest of the day",2,"for the rest of the","day","for","for the","for the rest","for the rest of","the","rest","of","the"
"210","for the wages of sin is",2,"for the wages of sin","is","for","for the","for the wages","for the wages of","the","wages","of","sin"
"211","for those of you who are",2,"for those of you who","are","for","for those","for those of","for those of you","those","of","you","who"
"212","forward to getting to know you",2,"forward to getting to know","you","forward","forward to","forward to getting","forward to getting to","to","getting","to","know"
"213","forward to seeing all of you",2,"forward to seeing all of","you","forward","forward to","forward to seeing","forward to seeing all","to","seeing","all","of"
"214","ghosts everyone talks about it but",2,"ghosts everyone talks about it","but","ghosts","ghosts everyone","ghosts everyone talks","ghosts everyone talks about","everyone","talks","about","it"
"215","give credit where credit is due",2,"give credit where credit is","due","give","give credit","give credit where","give credit where credit","credit","where","credit","is"
"216","glad i am not the only",2,"glad i am not the","only","glad","glad i","glad i am","glad i am not","i","am","not","the"
"217","go instead where there is no",2,"go instead where there is","no","go","go instead","go instead where","go instead where there","instead","where","there","is"
"218","go where the path may lead",2,"go where the path may","lead","go","go where","go where the","go where the path","where","the","path","may"
"219","going to do that i would",2,"going to do that i","would","going","going to","going to do","going to do that","to","do","that","i"
"220","gonna b in dc im tryna",2,"gonna b in dc im","tryna","gonna","gonna b","gonna b in","gonna b in dc","b","in","dc","im"
"221","had a dream that i was",2,"had a dream that i","was","had","had a","had a dream","had a dream that","a","dream","that","i"
"222","has been in and out of",2,"has been in and out","of","has","has been","has been in","has been in and","been","in","and","out"
"223","have a lot of time to",2,"have a lot of time","to","have","have a","have a lot","have a lot of","a","lot","of","time"
"224","have been a bad blogger i",2,"have been a bad blogger","i","have","have been","have been a","have been a bad","been","a","bad","blogger"
"225","have to be part of the",2,"have to be part of","the","have","have to","have to be","have to be part","to","be","part","of"
"226","have to do something you have",2,"have to do something you","have","have","have to","have to do","have to do something","to","do","something","you"
"227","he is i believe that someday",2,"he is i believe that","someday","he","he is","he is i","he is i believe","is","i","believe","that"
"228","he will follow me back neversaynever",2,"he will follow me back","neversaynever","he","he will","he will follow","he will follow me","will","follow","me","back"
"229","help us spread the word about",2,"help us spread the word","about","help","help us","help us spread","help us spread the","us","spread","the","word"
"230","hope everyone had a great weekend",2,"hope everyone had a great","weekend","hope","hope everyone","hope everyone had","hope everyone had a","everyone","had","a","great"
"231","hope everyone has had a great",2,"hope everyone has had a","great","hope","hope everyone","hope everyone has","hope everyone has had","everyone","has","had","a"
"232","hope to see you all there",2,"hope to see you all","there","hope","hope to","hope to see","hope to see you","to","see","you","all"
"233","hope you had a great day",2,"hope you had a great","day","hope","hope you","hope you had","hope you had a","you","had","a","great"
"234","hope you have a great week",2,"hope you have a great","week","hope","hope you","hope you have","hope you have a","you","have","a","great"
"235","hours of my life that i",2,"hours of my life that","i","hours","hours of","hours of my","hours of my life","of","my","life","that"
"236","how do you feel about the",2,"how do you feel about","the","how","how do","how do you","how do you feel","do","you","feel","about"
"237","how much easier it is to",2,"how much easier it is","to","how","how much","how much easier","how much easier it","much","easier","it","is"
"238","i always fall asleep when i",2,"i always fall asleep when","i","i","i always","i always fall","i always fall asleep","always","fall","asleep","when"
"239","i am going to be a",2,"i am going to be","a","i","i am","i am going","i am going to","am","going","to","be"
"240","i am going to bed a",2,"i am going to bed","a","i","i am","i am going","i am going to","am","going","to","bed"
"241","i am happy to announce that",2,"i am happy to announce","that","i","i am","i am happy","i am happy to","am","happy","to","announce"
"242","i am here to help you",2,"i am here to help","you","i","i am","i am here","i am here to","am","here","to","help"
"243","i am in the middle of",2,"i am in the middle","of","i","i am","i am in","i am in the","am","in","the","middle"
"244","i am in the process of",2,"i am in the process","of","i","i am","i am in","i am in the","am","in","the","process"
"245","i am not going to put",2,"i am not going to","put","i","i am","i am not","i am not going","am","not","going","to"
"246","i am not sure why the",2,"i am not sure why","the","i","i am","i am not","i am not sure","am","not","sure","why"
"247","i am pleased to report that",2,"i am pleased to report","that","i","i am","i am pleased","i am pleased to","am","pleased","to","report"
"248","i am pretty sure i am",2,"i am pretty sure i","am","i","i am","i am pretty","i am pretty sure","am","pretty","sure","i"
"249","i am proud of you you",2,"i am proud of you","you","i","i am","i am proud","i am proud of","am","proud","of","you"
"250","i am trying to get my",2,"i am trying to get","my","i","i am","i am trying","i am trying to","am","trying","to","get"
"251","i believe that someday he will",2,"i believe that someday he","will","i","i believe","i believe that","i believe that someday","believe","that","someday","he"
"252","i can not believe i am",2,"i can not believe i","am","i","i can","i can not","i can not believe","can","not","believe","i"
"253","i can not decide if i",2,"i can not decide if","i","i","i can","i can not","i can not decide","can","not","decide","if"
"254","i can not think of anything",2,"i can not think of","anything","i","i can","i can not","i can not think","can","not","think","of"
"255","i could not get it to",2,"i could not get it","to","i","i could","i could not","i could not get","could","not","get","it"
"256","i did not even know that",2,"i did not even know","that","i","i did","i did not","i did not even","did","not","even","know"
"257","i did not have to worry",2,"i did not have to","worry","i","i did","i did not","i did not have","did","not","have","to"
"258","i did not know what to",2,"i did not know what","to","i","i did","i did not","i did not know","did","not","know","what"
"259","i did not think it was",2,"i did not think it","was","i","i did","i did not","i did not think","did","not","think","it"
"260","i do not even know what",2,"i do not even know","what","i","i do","i do not","i do not even","do","not","even","know"
"261","i do not feel like doing",2,"i do not feel like","doing","i","i do","i do not","i do not feel","do","not","feel","like"
"262","i do not feel like i",2,"i do not feel like","i","i","i do","i do not","i do not feel","do","not","feel","like"
"263","i do not have time to",2,"i do not have time","to","i","i do","i do not","i do not have","do","not","have","time"
"264","i do not know about you",2,"i do not know about","you","i","i do","i do not","i do not know","do","not","know","about"
"265","i do not know how i",2,"i do not know how","i","i","i do","i do not","i do not know","do","not","know","how"
"266","i do not know if i",2,"i do not know if","i","i","i do","i do not","i do not know","do","not","know","if"
"267","i do not know if she",2,"i do not know if","she","i","i do","i do not","i do not know","do","not","know","if"
"268","i do not know much about",2,"i do not know much","about","i","i do","i do not","i do not know","do","not","know","much"
"269","i do not really know what",2,"i do not really know","what","i","i do","i do not","i do not really","do","not","really","know"
"270","i do not think i am",2,"i do not think i","am","i","i do","i do not","i do not think","do","not","think","i"
"271","i do not think i could",2,"i do not think i","could","i","i do","i do not","i do not think","do","not","think","i"
"272","i do not think i will",2,"i do not think i","will","i","i do","i do not","i do not think","do","not","think","i"
"273","i do not think i would",2,"i do not think i","would","i","i do","i do not","i do not think","do","not","think","i"
"274","i do not think that is",2,"i do not think that","is","i","i do","i do not","i do not think","do","not","think","that"
"275","i do not think there is",2,"i do not think there","is","i","i do","i do not","i do not think","do","not","think","there"
"276","i do not think we will",2,"i do not think we","will","i","i do","i do not","i do not think","do","not","think","we"
"277","i do not want to go",2,"i do not want to","go","i","i do","i do not","i do not want","do","not","want","to"
"278","i do not want you to",2,"i do not want you","to","i","i do","i do not","i do not want","do","not","want","you"
"279","i dont know what more to",2,"i dont know what more","to","i","i dont","i dont know","i dont know what","dont","know","what","more"
"280","i feel sorry for people who",2,"i feel sorry for people","who","i","i feel","i feel sorry","i feel sorry for","feel","sorry","for","people"
